Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
102,Grand Canyon,WAC,,19,4,68.6,54.4,14.22,-4.21,-1.5,8.79,7.29,92.72,81.55,11.18
103,Marshall,Sun Belt,,17,6,84.0,70.7,13.22,-1.28,14.42,-7.18,7.24,100.13,91.73,8.4
104,Colorado State,MWC,,15,7,71.0,61.2,9.77,-1.35,4.17,3.0,7.17,99.35,88.98,10.37
105,Temple,AAC,,12,10,69.9,63.3,6.59,0.36,4.52,2.43,6.95,95.11,86.0,9.12
106,Murray State,MVC,,13,6,87.8,76.8,11.0,-1.77,19.36,-12.74,6.62,104.84,96.86,7.98
107,Tulsa,AAC,,17,6,69.8,66.1,3.74,2.54,5.01,1.27,6.28,94.48,86.77,7.71
108,Northern Iowa,MVC,,8,12,70.9,72.0,-1.05,7.31,6.45,-0.19,6.26,100.57,91.86,8.7
109,Southern Methodist,AAC,,11,11,70.7,67.5,3.18,3.0,6.64,-0.47,6.18,97.82,89.93,7.89
110,Wyoming,MWC,,14,8,63.5,58.9,4.64,3.49,-1.6,7.76,6.16,98.81,89.68,9.13
111,James Madison,Sun Belt,,17,7,72.7,65.7,7.0,1.94,5.54,0.53,6.07,96.28,88.41,7.88
112,Wisconsin,Big Ten,,10,11,62.7,68.4,-5.71,11.23,0.84,4.68,5.52,91.47,85.01,6.46
113,Jackson State,SWAC,,14,6,71.3,58.7,12.6,1.08,2.83,2.54,5.37,95.15,87.23,7.92
114,Illinois State,MVC,,14,7,75.6,69.1,6.43,0.44,6.54,-1.25,5.29,98.9,92.62,6.28
115,Providence,Big East,,11,13,59.9,61.5,-1.67,6.64,-2.11,7.09,4.98,90.4,83.68,6.72
116,Charlotte,AAC,,13,10,66.1,63.2,2.91,1.99,2.04,2.87,4.9,89.61,83.32,6.29
117,Rutgers,Big Ten,,7,18,67.0,71.7,-4.68,9.4,4.95,-0.22,4.72,96.73,91.87,4.86
118,Kent State,MAC,,14,6,72.3,60.5,11.75,-0.73,4.04,0.39,4.44,96.09,90.05,6.04
119,Montana State,Big Sky,,14,10,61.0,57.8,3.25,0.92,-3.1,7.26,4.17,88.92,82.81,6.11
120,Northern Arizona,Big Sky,,17,6,78.0,72.1,5.91,0.41,13.4,-9.26,4.14,101.82,96.54,5.29
121,Wake Forest,ACC,,4,19,58.4,67.9,-9.48,13.51,-1.3,5.33,4.03,93.48,89.45,4.04
122,Chattanooga,Southern,,20,3,64.8,53.9,10.96,-4.75,-4.84,8.8,3.97,95.47,88.32,7.15
123,Missouri State,MVC,,14,5,68.3,64.3,4.05,-0.42,1.06,2.58,3.63,95.43,90.4,5.03
124,Kentucky,SEC,,9,14,66.3,74.6,-8.26,11.82,6.51,-2.95,3.56,96.75,92.36,4.39
125,Maine,AEC,,15,8,64.7,58.2,6.52,-3.04,-1.55,5.03,3.48,93.61,89.03,4.58
126,Troy,Sun Belt,,12,10,78.0,76.8,1.18,2.26,14.22,-10.78,3.44,97.41,92.98,4.43
127,Butler,Big East,,9,13,62.2,62.1,0.14,5.75,-2.23,5.55,3.32,95.9,92.76,3.15
128,Memphis,AAC,,7,14,67.4,71.0,-3.52,6.76,4.32,-1.08,3.24,90.33,86.11,4.22
129,North Dakota State,Summit,,13,9,74.3,69.0,5.23,1.1,4.92,-1.87,3.05,97.54,93.8,3.75
130,UC Irvine,Big West,,14,7,61.9,55.2,6.67,-3.89,-3.71,6.49,2.78,90.72,86.53,4.19
131,Pittsburgh,ACC,,7,17,62.5,68.7,-6.25,8.96,0.03,2.68,2.71,92.03,89.81,2.21
132,South Dakota,Summit,,17,8,72.7,63.8,8.88,-0.34,2.71,-0.01,2.71,96.43,92.71,3.72
133,Southern Mississippi,Sun Belt,,13,9,69.5,63.8,5.77,-1.34,0.73,1.97,2.71,94.04,90.26,3.78
134,Old Dominion,Sun Belt,,16,6,62.5,58.2,4.36,-0.91,-4.44,7.06,2.61,84.81,81.43,3.38
135,California Baptist,WAC,,18,2,80.4,70.1,10.3,-7.7,10.74,-8.13,2.6,94.85,92.63,2.22
136,UAB,AAC,,17,6,73.0,66.0,7.0,-4.44,7.28,-4.9,2.38,98.91,95.8,3.11
137,Hawaii,Big West,,13,8,57.4,55.8,1.57,0.78,-5.42,7.78,2.35,89.47,86.08,3.4
138,Boise State,MWC,,15,8,63.7,57.2,6.48,-1.91,-2.25,4.44,2.19,90.11,87.3,2.8
139,Duquesne,A-10,,14,9,69.0,66.9,2.04,-0.05,5.24,-3.24,2.0,96.87,94.66,2.21
140,San Diego State,MWC,,15,9,66.8,63.8,3.0,-0.23,1.48,0.34,1.81,94.51,92.04,2.46
141,Tulane,AAC,,10,12,66.0,65.8,0.23,1.51,2.22,-0.48,1.74,99.78,97.64,2.14
142,UTSA,AAC,,11,10,64.7,64.6,0.1,1.53,-0.33,1.96,1.63,90.62,88.28,2.34
143,Illinois-Chicago,MVC,,12,9,71.0,66.6,4.48,-3.52,1.47,-0.51,0.95,89.39,88.6,0.79
144,Pacific,WCC,,13,9,70.9,69.1,1.77,1.84,4.95,-4.25,0.7,91.34,90.13,1.21
145,Arkansas State,Sun Belt,,12,10,69.7,63.6,6.09,-1.91,1.91,-1.26,0.66,99.14,98.24,0.9
146,Louisiana-Monroe,Sun Belt,,15,8,74.0,65.9,8.13,-2.68,4.22,-3.56,0.65,94.25,93.45,0.79
147,Liberty,CUSA,,10,14,64.5,68.5,-3.96,6.66,1.66,-1.23,0.44,96.44,95.98,0.46
148,Albany (NY),AEC,,20,3,65.9,51.5,14.39,-10.65,-5.12,5.37,0.26,93.81,92.65,1.17
149,Lamar,Southland,,15,5,65.6,57.8,7.85,-3.07,-3.1,3.32,0.21,94.64,93.73,0.91
150,Georgia State,Sun Belt,,14,8,72.2,65.9,6.32,-2.94,3.3,-3.24,0.06,93.34,93.96,-0.62
151,Cal Poly,Big West,,12,9,62.0,61.1,0.81,-0.77,-2.76,2.81,0.04,89.62,89.6,0.02
152,Western Kentucky,CUSA,,14,10,66.3,63.7,2.58,-0.15,0.16,-0.14,0.02,90.52,90.85,-0.32
153,San Francisco,WCC,,10,13,66.8,66.6,0.22,0.67,0.99,-1.09,-0.1,90.48,90.55,-0.07
154,Oral Roberts,Summit,,16,7,81.3,75.5,5.78,1.6,11.73,-11.87,-0.14,96.8,96.27,0.54
155,Saint Louis,A-10,,9,15,71.3,73.9,-2.54,4.47,6.98,-7.16,-0.19,95.15,95.26,-0.11
156,North Carolina A&T,CAA,,14,6,65.7,55.3,10.35,-4.41,-5.35,5.06,-0.3,85.63,85.95,-0.32
157,New Mexico,MWC,,16,8,64.5,60.9,3.58,-3.05,-2.49,2.14,-0.35,87.8,88.38,-0.58
