Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
120,Illinois-Chicago,25,15,10,0.6,0.87,-4.53,8.0,6.0,7,3,7,6,1754,1619,73.7,87.0,0.26,0.303,0.487,47.6,58.4,10.0,8.6,0.449,21.6,28.5,0.196
121,Incarnate Word,24,15,9,0.625,-5.6,-7.55,8.0,5.0,9,4,6,5,1529,1369,66.1,85.0,0.299,0.308,0.463,47.4,51.7,9.1,7.8,0.423,20.5,30.0,0.211
122,Indiana,24,21,3,0.875,30.52,12.73,12.0,2.0,13,0,6,3,1942,1515,71.3,88.5,0.243,0.293,0.483,47.1,45.3,7.5,7.3,0.453,18.5,25.0,0.173
123,Indiana State,24,8,16,0.333,-7.97,-2.05,4.0,10.0,2,8,5,7,1530,1668,72.5,95.4,0.387,0.338,0.508,48.9,53.2,12.5,7.5,0.46,19.1,32.0,0.281
124,Iona,24,9,15,0.375,-15.9,-10.36,4.0,11.0,4,7,5,8,1360,1493,66.4,93.2,0.203,0.33,0.481,52.0,60.7,12.3,9.4,0.457,17.4,31.5,0.14
125,Iowa,26,23,3,0.885,36.66,14.78,12.0,2.0,11,1,7,2,2409,1840,77.2,91.2,0.24,0.382,0.487,44.6,51.6,9.1,7.5,0.455,17.0,24.8,0.176
126,Iowa State,24,14,10,0.583,20.95,15.08,7.0,6.0,11,2,3,6,1800,1659,72.0,95.0,0.207,0.413,0.488,43.9,57.7,12.4,7.7,0.457,13.4,23.1,0.156
127,IUPUI,24,5,19,0.208,-13.39,-1.06,3.0,12.0,4,7,1,11,1556,1852,75.2,101.6,0.306,0.288,0.517,51.8,52.7,11.6,9.7,0.473,16.4,34.3,0.238
128,Jackson State,23,17,6,0.739,5.4,-1.2,12.0,0.0,8,0,7,5,1638,1327,71.8,80.3,0.334,0.276,0.438,44.8,52.3,11.4,6.3,0.386,21.6,31.8,0.243
129,Jacksonville,25,8,17,0.32,-10.76,-1.85,4.0,8.0,6,5,2,12,1622,1791,75.6,94.8,0.366,0.349,0.515,51.8,53.3,13.9,7.8,0.479,21.5,36.6,0.251
130,Jacksonville State,23,9,14,0.391,-9.91,-2.24,4.0,7.0,7,4,2,10,1356,1451,69.8,89.9,0.273,0.28,0.484,49.9,52.6,11.6,7.8,0.451,18.6,27.5,0.191
131,James Madison,27,18,9,0.667,4.76,1.61,10.0,4.0,12,3,5,5,1937,1782,73.7,89.1,0.254,0.357,0.459,43.1,49.9,10.0,6.5,0.42,14.7,24.3,0.188
132,Kansas,25,15,10,0.6,19.42,14.9,8.0,6.0,11,1,3,7,1709,1596,69.4,91.9,0.263,0.328,0.48,50.9,54.9,8.2,9.0,0.443,18.0,31.2,0.194
133,Kansas City,27,11,16,0.407,-9.14,-4.14,2.0,10.0,9,4,1,10,1761,1752,71.9,90.2,0.422,0.287,0.489,48.1,53.1,11.3,4.4,0.438,20.2,31.1,0.299
134,Kansas State,26,22,4,0.846,29.47,12.28,10.0,3.0,14,0,5,3,1903,1456,71.2,77.9,0.264,0.301,0.428,46.9,54.3,10.0,5.7,0.388,20.2,26.0,0.187
135,Kennesaw State,26,10,16,0.385,-9.85,-0.1,6.0,7.0,7,7,2,8,1482,1642,69.1,91.4,0.32,0.33,0.502,47.0,56.3,11.4,6.8,0.468,20.9,30.9,0.22
136,Kent State,22,15,7,0.682,4.72,-0.78,9.0,2.0,7,2,7,4,1598,1346,70.8,85.5,0.296,0.348,0.471,46.4,49.1,9.6,6.1,0.429,20.4,26.8,0.216
137,Kentucky,25,9,16,0.36,3.23,12.63,2.0,9.0,9,5,0,8,1619,1854,73.1,101.0,0.259,0.313,0.543,53.2,59.9,10.4,9.8,0.511,19.3,34.7,0.197
138,La Salle,24,7,17,0.292,-13.04,-0.41,4.0,9.0,3,8,4,9,1397,1700,71.5,98.5,0.275,0.334,0.505,55.6,61.7,10.5,9.0,0.471,18.5,38.5,0.199
139,Lafayette,24,9,15,0.375,-16.18,-9.43,4.0,9.0,3,7,6,8,1351,1513,65.6,95.1,0.253,0.336,0.497,52.8,62.6,12.6,6.6,0.466,18.3,31.6,0.183
140,Lamar,23,18,5,0.783,0.73,-3.8,12.0,1.0,8,1,9,3,1512,1319,66.7,86.0,0.31,0.305,0.483,45.8,53.6,10.5,5.6,0.442,21.6,27.0,0.225
141,Le Moyne,25,12,13,0.48,-13.88,-6.68,10.0,2.0,5,3,7,10,1407,1587,66.2,95.5,0.236,0.385,0.499,53.0,64.9,11.5,7.8,0.477,20.0,36.8,0.157
142,Lehigh,23,14,9,0.609,-8.45,-11.54,6.0,6.0,7,4,6,4,1601,1497,72.6,88.7,0.244,0.232,0.46,49.4,48.4,10.7,6.9,0.423,16.3,27.7,0.181
143,Liberty,26,12,14,0.462,1.2,5.45,7.0,4.0,9,4,3,7,1692,1752,68.6,97.2,0.309,0.35,0.484,47.6,56.1,12.5,4.7,0.442,15.3,32.3,0.227
144,Lindenwood,24,6,18,0.25,-16.47,-7.9,4.0,10.0,5,6,1,12,1601,1753,71.2,101.4,0.385,0.278,0.563,56.2,53.6,8.7,6.0,0.526,22.3,37.7,0.279
145,Lipscomb,25,14,11,0.56,-4.06,-3.75,7.0,5.0,6,5,8,6,1692,1624,70.9,90.3,0.235,0.359,0.47,49.6,49.6,8.7,9.4,0.437,17.4,29.2,0.171
146,Little Rock,25,9,16,0.36,-7.64,-0.6,8.0,6.0,4,8,4,8,1366,1542,66.2,92.7,0.373,0.336,0.519,54.5,50.1,8.2,6.6,0.481,22.3,31.4,0.262
147,Long Beach State,24,10,14,0.417,-3.92,-0.84,5.0,9.0,8,6,2,8,1592,1643,77.7,88.1,0.297,0.352,0.468,50.2,50.9,14.6,9.0,0.427,21.1,36.2,0.213
148,Long Island University,25,6,19,0.24,-26.3,-15.58,3.0,9.0,4,8,2,11,1443,1711,70.3,97.4,0.258,0.345,0.503,51.6,65.8,12.9,8.5,0.475,18.4,34.7,0.178
149,Longwood,25,6,19,0.24,-22.86,-8.9,3.0,9.0,4,6,2,13,1536,1777,75.0,94.8,0.244,0.374,0.508,53.4,60.2,11.2,6.3,0.481,21.3,36.3,0.173
150,Louisiana,24,12,12,0.5,-3.33,1.58,7.0,7.0,7,6,5,6,1404,1464,67.6,89.3,0.353,0.342,0.485,55.4,52.1,9.6,6.5,0.443,21.4,33.8,0.246
151,Louisiana State,25,21,4,0.84,33.92,6.88,8.0,3.0,14,1,5,2,2252,1576,79.0,79.8,0.27,0.372,0.456,40.3,46.9,10.3,6.5,0.425,23.5,27.9,0.178
152,Louisiana Tech,26,9,17,0.346,-2.86,2.14,3.0,8.0,6,5,3,10,1613,1641,68.0,91.9,0.296,0.325,0.494,51.6,52.9,11.7,8.6,0.458,19.5,31.4,0.209
153,Louisiana-Monroe,26,16,10,0.615,-0.06,-2.52,8.0,6.0,8,3,6,7,1905,1729,74.9,88.8,0.319,0.343,0.464,51.4,51.7,7.9,5.7,0.422,19.2,32.7,0.223
154,Louisville,26,21,5,0.808,26.19,12.54,10.0,3.0,13,0,6,4,1955,1600,72.0,85.5,0.285,0.338,0.494,45.1,51.2,9.9,7.2,0.463,23.9,28.6,0.196
155,Loyola (IL),26,12,14,0.462,-1.15,-0.85,6.0,9.0,6,7,6,7,1669,1677,68.8,93.4,0.27,0.332,0.518,52.3,64.6,10.6,9.5,0.487,22.0,33.5,0.194
156,Loyola (MD),23,12,11,0.522,-12.0,-9.35,7.0,5.0,5,6,7,5,1323,1384,64.8,92.9,0.282,0.324,0.509,50.7,58.3,9.5,7.0,0.482,19.8,29.3,0.189
157,Loyola Marymount,24,9,15,0.375,-3.53,2.47,4.0,8.0,5,6,4,9,1428,1518,66.9,94.0,0.272,0.367,0.504,48.6,57.8,11.1,9.2,0.473,19.4,32.0,0.193
158,Maine,26,18,8,0.692,3.66,-3.8,11.0,1.0,9,2,7,5,1693,1499,65.8,87.7,0.256,0.293,0.482,46.2,57.0,9.4,8.7,0.457,19.3,24.7,0.168
159,Manhattan,24,16,8,0.667,-9.71,-11.58,9.0,6.0,9,2,7,6,1398,1353,65.6,85.5,0.227,0.313,0.467,47.5,59.6,12.3,5.3,0.438,20.5,29.2,0.159
160,Marist,24,5,19,0.208,-17.43,-8.64,3.0,11.0,3,7,2,10,1345,1556,69.9,91.4,0.208,0.359,0.467,51.6,54.0,14.8,6.9,0.436,16.4,30.5,0.156
161,Marquette,25,19,6,0.76,20.45,7.85,8.0,6.0,12,2,5,4,1816,1501,71.0,84.5,0.235,0.294,0.475,45.6,50.5,9.7,7.7,0.446,20.6,23.9,0.164
162,Marshall,25,19,6,0.76,7.5,-1.28,13.0,1.0,9,1,10,5,2107,1780,80.5,88.5,0.328,0.25,0.513,51.5,48.6,10.3,8.7,0.487,25.4,36.2,0.212
163,Maryland,24,14,10,0.583,22.16,17.2,6.0,7.0,9,3,3,6,1903,1784,77.0,96.0,0.239,0.363,0.504,48.8,61.0,9.4,6.8,0.469,18.6,32.8,0.183
164,Maryland-Baltimore County,25,8,17,0.32,-16.65,-8.78,4.0,9.0,4,7,4,10,1456,1593,68.0,91.9,0.271,0.27,0.492,51.8,53.5,12.5,8.7,0.463,20.1,33.3,0.185
165,Maryland-Eastern Shore,22,10,12,0.455,-8.25,-6.85,3.0,4.0,8,3,2,9,1382,1328,71.1,84.9,0.312,0.337,0.475,47.7,53.6,11.2,6.5,0.436,22.4,31.3,0.218
166,Massachusetts,27,3,24,0.111,-12.45,2.29,1.0,14.0,3,9,0,12,1581,1979,71.0,103.2,0.347,0.352,0.565,56.3,65.4,12.7,6.6,0.524,21.3,36.6,0.268
167,Massachusetts-Lowell,24,4,20,0.167,-18.35,-7.14,4.0,8.0,2,9,2,11,1273,1542,68.3,93.6,0.248,0.243,0.496,53.8,54.9,12.0,8.8,0.462,18.6,32.5,0.184
168,McNeese State,26,4,22,0.154,-29.07,-3.89,0.0,13.0,4,12,0,10,1715,2089,77.5,103.2,0.302,0.282,0.532,54.1,58.8,12.3,7.6,0.507,17.8,35.0,0.201
169,Memphis,24,9,15,0.375,3.27,6.61,5.0,8.0,5,5,3,8,1624,1704,75.2,92.5,0.417,0.231,0.527,49.9,52.3,9.4,9.2,0.483,23.4,33.5,0.298
170,Mercer,27,11,16,0.407,-4.75,-4.49,5.0,6.0,7,4,3,11,1741,1748,69.1,92.4,0.347,0.252,0.497,48.4,47.2,11.1,5.7,0.457,19.5,31.0,0.246
171,Merrimack,25,10,15,0.4,-17.14,-14.14,7.0,5.0,6,5,4,10,1469,1544,69.4,88.1,0.322,0.368,0.475,48.4,56.6,12.3,11.1,0.435,20.7,31.9,0.224
172,Miami (FL),24,16,8,0.667,18.52,9.93,6.0,7.0,13,2,3,5,1647,1441,68.8,86.8,0.226,0.353,0.468,47.8,61.1,10.7,7.0,0.434,21.7,34.1,0.168
173,Miami (OH),23,7,16,0.304,-12.45,-2.19,4.0,8.0,4,6,3,10,1246,1482,67.0,95.1,0.31,0.43,0.503,52.7,61.6,14.4,10.9,0.471,20.5,36.0,0.214
174,Michigan,26,16,10,0.615,19.15,11.46,7.0,7.0,10,3,4,5,1839,1639,69.4,90.4,0.313,0.353,0.52,46.1,51.8,8.2,7.0,0.485,22.3,26.7,0.225
175,Michigan State,24,17,7,0.708,27.87,10.7,7.0,6.0,11,2,3,4,2054,1642,75.0,91.3,0.275,0.305,0.523,49.1,57.9,7.0,7.9,0.491,21.7,25.0,0.2
176,Middle Tennessee,25,21,4,0.84,17.48,0.72,11.0,0.0,9,1,9,2,1800,1381,66.5,82.6,0.224,0.356,0.434,47.1,49.9,9.0,7.8,0.404,18.7,29.2,0.153
177,Milwaukee,28,14,14,0.5,-4.6,-6.02,8.0,9.0,7,6,6,7,1873,1753,68.7,90.8,0.298,0.334,0.487,47.3,55.7,12.7,8.2,0.445,19.0,29.4,0.223
178,Minnesota,25,15,10,0.6,20.33,10.29,5.0,9.0,13,4,2,6,1833,1582,71.0,88.2,0.21,0.382,0.494,46.6,63.8,10.5,6.9,0.468,20.4,24.9,0.15
179,Mississippi,24,17,7,0.708,17.97,10.43,7.0,4.0,8,4,6,3,1611,1430,70.0,84.7,0.294,0.255,0.463,45.1,55.9,10.0,6.8,0.421,21.0,30.3,0.212
180,Mississippi State,26,20,6,0.769,21.69,8.23,7.0,4.0,10,4,7,2,1988,1638,71.6,87.5,0.202,0.333,0.458,44.6,53.7,9.3,7.8,0.435,17.7,29.1,0.134
181,Mississippi Valley State,25,2,23,0.08,-24.37,0.63,1.0,11.0,0,8,2,13,1355,1980,76.7,103.2,0.415,0.343,0.529,58.5,57.6,12.5,12.9,0.49,19.7,42.2,0.286
182,Missouri,24,11,13,0.458,14.11,12.4,2.0,9.0,8,5,2,6,1720,1679,72.4,96.1,0.24,0.354,0.496,49.9,54.5,11.4,9.6,0.466,16.4,29.3,0.173
183,Missouri State,23,17,6,0.739,4.26,-0.74,11.0,3.0,11,1,6,5,1592,1477,70.3,91.3,0.404,0.312,0.529,45.6,50.9,10.6,4.6,0.484,22.6,25.0,0.293
184,Monmouth,23,15,8,0.652,-2.22,-6.22,8.0,4.0,6,6,9,2,1448,1320,69.3,82.8,0.229,0.259,0.433,44.1,48.4,11.2,8.2,0.405,16.6,26.3,0.149
185,Montana,24,17,7,0.708,7.95,-0.01,9.0,4.0,9,4,7,3,1777,1543,68.0,94.5,0.227,0.324,0.501,45.9,50.3,10.2,10.5,0.469,16.4,24.7,0.171
186,Montana State,26,14,12,0.538,3.01,1.35,8.0,5.0,10,2,3,9,1572,1529,68.2,86.2,0.287,0.384,0.482,51.4,53.3,12.3,8.6,0.447,22.8,32.3,0.202
187,Morehead State,25,13,12,0.52,-8.18,-4.45,8.0,6.0,8,4,5,8,1653,1624,71.3,89.3,0.29,0.312,0.484,47.7,50.9,9.4,7.6,0.443,20.7,31.2,0.216
188,Morgan State,22,7,15,0.318,-16.59,-3.99,2.0,5.0,4,4,2,10,1205,1412,69.6,91.6,0.338,0.286,0.516,51.4,58.6,12.0,6.1,0.481,23.8,34.9,0.235
189,Mount St. Mary's,24,10,14,0.417,-14.98,-9.19,7.0,8.0,5,6,5,8,1276,1415,68.0,86.3,0.258,0.365,0.467,55.0,56.9,10.7,5.8,0.434,21.0,33.1,0.18
190,Murray State,23,15,8,0.652,6.75,-0.35,8.0,6.0,8,3,7,5,2006,1792,80.5,96.8,0.262,0.315,0.536,47.4,50.8,9.4,8.5,0.509,19.8,27.4,0.188
191,Navy,24,9,15,0.375,-18.48,-9.53,5.0,8.0,8,6,1,9,1484,1585,72.2,91.0,0.319,0.328,0.511,51.2,59.0,11.1,6.7,0.476,21.2,27.3,0.226
192,NC State,25,22,3,0.88,32.15,14.99,10.0,3.0,12,1,7,2,1898,1469,72.6,80.5,0.162,0.341,0.422,45.5,48.7,8.8,8.6,0.394,16.9,25.4,0.122
193,Nebraska,26,17,9,0.654,21.91,13.18,9.0,6.0,11,3,5,5,1899,1672,71.0,90.6,0.255,0.379,0.492,43.8,55.5,9.2,8.1,0.46,18.0,23.3,0.183
194,Nevada,26,14,12,0.538,-2.47,-1.71,8.0,5.0,8,5,4,5,1675,1659,71.3,88.2,0.321,0.302,0.499,51.1,48.2,9.1,10.2,0.46,23.1,31.1,0.23
195,Nevada-Las Vegas,24,22,2,0.917,18.25,-0.05,12.0,1.0,10,1,11,1,1896,1457,71.1,85.4,0.192,0.315,0.463,44.0,48.5,6.6,7.3,0.435,17.2,22.1,0.139
196,New Hampshire,25,9,16,0.36,-13.6,-8.06,3.0,9.0,7,6,1,10,1378,1477,66.3,89.2,0.301,0.426,0.517,49.3,62.1,12.1,7.5,0.482,24.5,30.2,0.218
197,New Mexico,26,18,8,0.692,0.98,-2.98,9.0,4.0,13,3,5,3,1681,1558,70.7,84.4,0.163,0.368,0.452,48.2,57.2,8.9,9.6,0.432,17.6,24.0,0.111
198,New Mexico State,24,11,13,0.458,-3.48,-1.79,5.0,6.0,7,4,2,8,1450,1454,69.4,86.3,0.346,0.349,0.492,49.9,50.7,10.9,8.9,0.457,23.1,32.2,0.23
