Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
311,Texas-Rio Grande Valley,18,4,14,0.222,-12.37,-1.42,3.0,6.0,1,6,3,8,1078,1275,73.3,81.7,0.326,0.412,0.445,44.3,58.5,9.6,7.8,0.392,19.3,24.3,0.244
312,Toledo,18,14,4,0.778,8.65,1.12,7.0,1.0,7,1,5,3,1228,1058,69.5,98.1,0.296,0.346,0.504,53.4,57.5,10.9,7.1,0.465,17.6,33.5,0.221
313,Towson,18,11,7,0.611,-4.23,-3.28,3.0,4.0,6,2,3,5,1203,1220,72.6,90.8,0.258,0.335,0.462,49.0,49.3,10.5,6.0,0.423,16.2,30.1,0.191
314,Troy,19,11,8,0.579,3.84,2.37,8.0,1.0,5,4,4,4,1500,1472,80.1,97.3,0.283,0.216,0.472,51.6,48.5,11.7,6.0,0.436,13.8,35.0,0.198
315,Tulane,19,8,11,0.421,1.87,1.39,1.0,7.0,7,4,1,5,1231,1222,67.2,95.7,0.263,0.41,0.506,51.9,68.0,10.7,6.8,0.469,20.0,35.0,0.201
316,Tulsa,21,16,5,0.762,6.71,2.48,6.0,2.0,8,1,4,3,1479,1390,74.0,94.7,0.296,0.437,0.521,49.5,54.3,8.5,8.9,0.493,19.3,25.7,0.203
317,UAB,20,15,5,0.75,0.94,-5.64,6.0,2.0,9,1,5,3,1434,1298,72.1,98.2,0.309,0.394,0.521,49.4,55.5,9.2,6.3,0.478,17.6,28.9,0.239
318,UC Davis,19,10,9,0.526,-3.63,0.84,6.0,3.0,6,1,4,8,1208,1195,69.4,91.7,0.181,0.446,0.522,48.9,63.9,10.2,5.8,0.504,20.5,22.2,0.125
319,UC Irvine,19,13,6,0.684,2.83,-4.01,7.0,2.0,6,1,6,4,1197,1067,68.3,92.3,0.26,0.308,0.485,51.5,51.0,16.1,9.3,0.45,19.4,34.7,0.188
320,UC Riverside,20,10,10,0.5,-6.4,-0.96,5.0,5.0,6,3,4,7,1148,1191,68.5,83.7,0.275,0.338,0.439,46.7,53.4,16.3,6.3,0.397,17.9,28.6,0.199
321,UC San Diego,20,8,12,0.4,-4.44,-0.11,4.0,5.0,5,6,3,5,1191,1159,66.9,87.9,0.276,0.365,0.479,51.8,55.3,11.2,9.3,0.443,21.0,30.0,0.197
322,UC Santa Barbara,19,13,6,0.684,0.19,-3.57,7.0,2.0,9,1,3,4,1302,1143,68.2,99.2,0.256,0.324,0.537,53.2,56.6,7.4,5.3,0.506,19.8,32.5,0.194
323,UCLA,19,16,3,0.842,35.24,15.19,5.0,3.0,10,1,3,2,1573,1192,74.2,110.9,0.271,0.33,0.546,61.1,60.9,11.8,13.8,0.514,16.6,43.2,0.204
324,UNC Asheville,20,8,12,0.4,-18.08,-14.25,2.0,5.0,5,4,3,6,1177,1153,70.9,82.4,0.264,0.299,0.425,51.2,46.6,9.1,5.0,0.391,18.9,34.4,0.174
325,UNC Greensboro,21,14,7,0.667,-7.22,-7.8,3.0,3.0,12,1,2,6,1355,1157,66.6,96.9,0.248,0.303,0.482,53.5,52.7,12.9,10.9,0.459,17.3,37.9,0.159
326,UNC Wilmington,18,3,15,0.167,-26.08,-5.44,1.0,6.0,2,6,1,9,996,1311,73.7,74.5,0.324,0.264,0.415,45.0,51.4,10.2,7.0,0.363,23.2,30.7,0.232
327,UT Arlington,19,9,10,0.474,-4.89,0.63,5.0,4.0,4,3,4,6,1271,1376,74.3,90.1,0.332,0.281,0.5,46.5,59.4,10.7,9.0,0.462,19.6,25.9,0.234
328,Utah,21,15,6,0.714,32.9,11.64,5.0,4.0,9,1,5,4,1766,1262,71.7,116.0,0.226,0.473,0.604,57.7,67.9,12.6,6.5,0.584,17.1,35.2,0.169
329,Utah State,19,3,16,0.158,-19.63,-1.69,0.0,8.0,2,8,1,8,1055,1350,69.8,79.6,0.339,0.317,0.463,47.0,47.4,9.7,9.8,0.419,24.3,28.0,0.237
330,Utah Tech,20,11,9,0.55,-4.48,-4.32,5.0,4.0,8,4,3,5,1481,1352,73.7,100.5,0.213,0.485,0.553,49.0,53.6,8.8,8.6,0.531,17.3,21.3,0.156
331,Utah Valley,18,8,10,0.444,-10.05,-5.88,3.0,6.0,6,3,2,7,1081,1118,70.6,84.5,0.314,0.371,0.46,46.2,69.3,16.4,9.7,0.434,20.0,28.4,0.19
332,UTEP,19,8,11,0.421,-3.08,1.93,3.0,3.0,8,3,0,4,1300,1360,72.3,93.4,0.354,0.244,0.506,51.5,48.3,10.1,6.1,0.469,20.5,32.7,0.244
333,UTSA,19,10,9,0.526,1.49,1.22,4.0,4.0,5,2,5,7,1220,1215,70.3,89.0,0.254,0.255,0.458,56.5,55.8,8.8,12.7,0.434,20.9,40.7,0.159
334,Valparaiso,18,3,15,0.167,-16.26,-4.26,2.0,7.0,2,4,1,10,1087,1303,72.4,82.9,0.328,0.461,0.489,43.1,52.8,13.7,7.0,0.456,23.8,22.6,0.22
335,Vanderbilt,21,17,4,0.81,17.15,5.82,4.0,3.0,11,1,4,3,1504,1266,70.7,101.3,0.262,0.328,0.514,52.9,60.1,15.3,10.9,0.483,17.1,36.2,0.191
336,Vermont,21,14,7,0.667,-1.08,-5.98,6.0,1.0,10,1,4,3,1222,1108,62.2,93.5,0.198,0.312,0.495,50.6,58.6,8.3,9.8,0.473,17.8,29.0,0.137
337,Villanova,20,13,7,0.65,15.99,8.54,6.0,3.0,7,2,6,5,1342,1193,66.1,100.3,0.206,0.33,0.485,49.3,57.5,11.4,12.0,0.457,12.8,32.6,0.151
338,Virginia,20,10,10,0.5,15.94,10.54,2.0,7.0,7,6,2,3,1473,1365,76.2,96.0,0.275,0.337,0.48,53.9,60.7,11.0,11.9,0.436,16.5,35.3,0.214
339,Virginia Commonwealth,20,17,3,0.85,8.71,-1.19,6.0,2.0,9,0,4,3,1252,1025,65.5,95.6,0.36,0.279,0.494,58.1,46.3,11.9,6.7,0.451,19.9,40.4,0.255
340,Virginia Tech,20,16,4,0.8,26.36,8.01,7.0,2.0,11,0,3,3,1564,1197,69.3,112.8,0.212,0.405,0.569,55.5,58.6,5.8,14.1,0.545,15.1,34.2,0.163
341,Wagner,18,5,13,0.278,-31.28,-13.99,2.0,4.0,4,4,1,7,970,1231,71.8,74.6,0.34,0.279,0.441,45.9,48.8,13.5,6.5,0.394,26.5,29.9,0.235
342,Wake Forest,20,4,16,0.2,3.29,11.99,0.0,8.0,3,7,0,8,1189,1363,68.9,86.2,0.25,0.387,0.472,45.6,58.4,11.6,5.7,0.437,19.4,26.3,0.181
343,Washington,19,13,6,0.684,20.1,9.0,3.0,5.0,8,2,3,4,1239,1028,66.4,98.2,0.22,0.364,0.513,54.7,53.6,10.0,10.6,0.492,18.2,33.6,0.149
344,Washington State,21,15,6,0.714,26.17,11.88,4.0,4.0,8,1,5,4,1568,1268,69.5,106.1,0.247,0.324,0.555,51.7,60.4,10.3,12.6,0.524,16.3,30.3,0.193
345,Weber State,21,6,15,0.286,-9.52,0.33,3.0,5.0,4,2,2,12,1195,1378,67.7,84.1,0.252,0.307,0.458,50.1,52.7,11.3,6.2,0.423,20.1,28.3,0.179
346,West Virginia,19,17,2,0.895,26.98,4.5,6.0,2.0,10,1,4,1,1488,1061,74.6,105.0,0.345,0.364,0.553,50.3,58.6,20.0,8.7,0.522,17.8,32.8,0.243
347,Western Carolina,21,5,16,0.238,-24.07,-8.23,0.0,6.0,3,10,2,6,1217,1370,69.3,83.6,0.249,0.307,0.475,46.8,60.7,8.3,6.0,0.449,22.9,28.1,0.164
348,Western Illinois,19,13,6,0.684,-9.49,-11.36,4.0,4.0,10,1,3,5,1445,1225,74.4,101.5,0.362,0.346,0.533,54.4,55.4,10.1,6.8,0.493,18.0,32.9,0.264
349,Western Kentucky,21,13,8,0.619,1.42,-0.28,4.0,2.0,7,2,4,4,1398,1306,71.9,92.6,0.286,0.392,0.493,45.5,53.3,15.3,9.5,0.459,18.4,27.7,0.204
350,Western Michigan,18,8,10,0.444,-11.04,-3.75,3.0,5.0,5,3,2,6,1078,1189,68.9,86.3,0.253,0.41,0.485,44.1,58.6,12.4,3.9,0.459,21.2,25.9,0.171
351,Wichita State,21,6,15,0.286,-5.32,1.16,2.0,7.0,5,7,0,7,1348,1484,73.6,86.6,0.319,0.282,0.46,48.8,48.1,10.0,4.5,0.426,19.8,32.1,0.208
352,William & Mary,19,9,10,0.474,-3.61,-2.55,5.0,3.0,3,6,5,4,1185,1205,72.6,85.4,0.311,0.302,0.469,45.5,61.6,11.6,6.5,0.423,19.7,26.2,0.231
353,Winthrop,21,9,12,0.429,-18.54,-9.48,3.0,5.0,5,5,3,6,1185,1275,69.9,79.9,0.284,0.308,0.447,50.7,53.1,14.0,6.4,0.411,24.1,34.3,0.194
354,Wisconsin,19,10,9,0.526,7.78,10.73,3.0,6.0,7,4,2,4,1225,1281,72.2,89.3,0.298,0.392,0.502,49.5,64.2,10.6,10.9,0.465,22.2,28.5,0.217
355,Wofford,19,12,7,0.632,-5.44,-6.31,4.0,1.0,10,1,2,6,1259,1128,72.1,92.0,0.198,0.387,0.465,49.3,50.6,10.7,7.2,0.436,15.4,29.7,0.146
356,Wright State,22,12,10,0.545,-2.85,-0.35,6.0,5.0,6,3,5,6,1589,1578,72.7,98.3,0.251,0.397,0.524,46.3,54.8,11.3,9.2,0.49,16.3,23.9,0.194
357,Wyoming,19,12,7,0.632,6.12,3.84,7.0,1.0,7,2,4,4,1225,1138,64.4,100.2,0.225,0.365,0.542,53.5,57.7,9.4,8.1,0.514,18.4,28.3,0.171
358,Xavier,18,1,17,0.056,-13.74,4.54,0.0,9.0,1,8,0,8,926,1255,68.1,75.0,0.208,0.409,0.455,44.0,56.6,10.0,4.7,0.43,26.3,25.4,0.14
