Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
0.5,West Virginia-2023,1.6868,1.474,1.3619,1.4976,0.3449,0.6375,1.3978,1.3245,2.0132
0.75,Duke-2023,1.7604,1.3555,1.4669,1.5837,1.4661,1.9192,1.1018,1.741,1.0724
0.75,San Diego State-2023,1.7393,0.971,1.7246,1.6029,1.7836,2.4319,1.871,1.741,1.2106
0.875,Kansas State-2023,1.6722,1.7993,0.1785,1.5072,1.1937,2.2853,1.1018,1.4139,2.0132
0.6875,TCU-2023,1.6196,1.474,-1.0622,1.4689,0.7046,1.0646,1.5161,1.3593,2.0132
0.6875,Iowa State-2023,1.6379,1.067,-0.0697,1.5455,0.4517,1.9192,-0.0226,1.2828,2.0132
0.8125,Indiana-2023,1.6123,1.3555,1.3047,1.4498,0.8844,1.0646,1.3504,1.3887,1.5693
0.5,Illinois-2023,1.5511,1.3555,0.293,1.4115,0.6369,0.5391,0.9242,1.741,1.5693
0.6875,Kentucky-2023,1.6262,0.8229,1.1042,1.488,0.8221,1.4065,1.7921,1.0364,1.4122
0.5625,Maryland-2023,1.6525,1.3555,1.1901,1.4402,0.7046,1.0646,0.5034,1.741,1.5693
0.5625,Memphis-2023,1.5343,1.1483,1.3906,1.5167,1.4661,2.1525,1.019,1.2585,0.7228
0.5,Auburn-2023,1.5416,1.1483,1.5242,1.4306,0.6369,0.3811,2.3446,1.4139,1.4122
0.625,Michigan State-2023,1.5671,0.971,1.4383,1.4211,0.5651,1.686,0.6876,1.0364,1.5693
0.4375,Utah State-2023,1.5073,1.4194,1.4096,1.5646,1.4661,0.8938,2.3446,1.1303,1.2106
0.5625,Iowa-2023,1.4956,0.971,0.0067,1.3636,0.4517,0.495,1.1396,0.6836,1.5693
0.75,Miami (FL)-2023,1.5044,1.7016,1.5146,1.4019,1.564,2.3463,1.9303,1.2022,1.0724
0.5,Florida Atlantic-2023,1.5277,1.6546,0.9038,1.6124,2.3392,2.9446,2.3446,1.5417,0.981
