Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Virginia Commonwealth,0.6832,1.6197,0.7361,0.9863,1.6259,-0.4617,2.2536,1.3638,0.363
St. John's (NY),0.629,0.0302,0.9382,0.8708,0.0981,-0.4617,0.2402,0.654,0.8682
Grand Canyon,0.6653,0.8073,0.0337,0.9093,1.4387,-0.4617,1.247,0.6756,-0.6407
Georgetown,0.6121,1.6197,-1.3712,0.8323,0.5614,-0.4617,-0.7664,0.9652,0.8682
Temple,0.5813,0.0302,-0.3031,0.7554,0.4136,-0.4617,0.2402,0.2281,0.4492
DePaul,0.5505,0.4786,0.0529,0.765,-0.4292,-0.4617,-0.3349,0.3541,0.8682
Arizona State,0.559,0.6779,1.3231,0.6303,-0.4588,-0.4617,0.2402,0.6756,1.9653
East Carolina,0.4804,0.5602,1.0344,0.7169,0.3298,-0.4617,0.2402,0.3121,0.4492
Eastern Washington,0.63,0.9134,-0.4667,0.9959,1.4387,-0.4617,0.2402,1.1647,-0.4306
Montana,0.6126,0.8073,0.5244,0.8805,0.9458,-0.4617,0.7436,0.5226,-0.4306
Portland,0.5431,0.0302,0.7842,0.7457,0.5614,-0.4617,-0.0114,0.5226,-0.0688
Harvard,0.5465,0.1798,0.2839,0.919,0.4579,-0.4617,-0.1624,1.0935,0.2902
Marshall,0.474,-0.1858,-0.1973,0.8227,1.2021,3.3922,1.4986,0.3541,0.3369
South Florida,0.5182,0.4786,0.6399,0.6591,0.1967,-0.4617,-0.7664,0.5669,0.4492
Rice,0.5629,0.207,-0.2069,0.7361,0.3002,-0.4617,0.2402,0.102,0.4492
Colorado State,0.5351,1.1958,0.3608,0.7939,0.6107,-0.4617,0.7436,0.3674,0.2891
Murray State,0.4501,1.0016,-0.0241,0.7073,0.6698,-0.4617,0.2402,0.8592,-0.1338
Northern Iowa,0.4939,-1.4808,1.7272,0.7265,-0.3996,-0.4617,0.0964,0.9432,-0.1338
Southern Methodist,0.4675,0.207,0.0241,0.6399,0.0193,-0.4617,-0.7664,0.473,0.4492
Fairfield,0.4486,1.4872,-0.8901,0.9286,2.173,-0.4617,2.2536,1.3638,-0.3078
Jackson State,0.4367,-0.9411,1.6984,0.7746,1.1528,-0.4617,2.2536,1.1113,-1.6533
Wyoming,0.4213,-0.3583,1.3905,0.6784,0.3298,-0.4617,-0.7664,0.473,0.2891
Tulsa,0.3428,1.0762,0.101,0.5629,0.867,-0.4617,0.7436,0.7327,0.4492
Butler,0.3249,0.8073,-0.6399,0.4667,-0.1778,0.3949,-0.0114,0.0119,0.8682
Wake Forest,0.2985,-0.6175,1.5156,0.3127,-1.7845,-0.4617,-0.3889,-1.2863,1.304
James Madison,0.3522,0.3539,0.8997,0.6495,0.7438,0.8229,0.7436,0.654,0.3369
Illinois State,0.3318,0.6779,-0.409,0.6014,0.7438,-0.4617,-0.0114,1.1113,-0.1338
Kent State,0.3627,-0.1858,1.2654,0.6976,0.8177,-0.4617,0.4416,1.3638,-0.1883
Rutgers,0.2836,-0.1194,0.5052,0.3224,-1.1339,0.2726,-0.7664,0.2281,1.3317
Providence,0.3577,-0.1194,0.409,0.5918,-0.3553,-0.4617,0.4416,-0.1952,0.8682
Chattanooga,0.4347,1.0762,0.6303,0.7842,1.7935,2.1076,0.7436,1.1647,0.0324
Charlotte,0.309,0.3539,-0.2646,0.5437,0.108,-0.4617,0.7436,-0.0309,0.4492
Missouri State,0.3358,0.6779,-0.9767,0.6207,1.0986,-0.4617,0.4416,0.9186,-0.1338
Kentucky,0.2772,0.0302,1.4097,0.2261,-0.646,-0.4617,0.2402,0.6066,1.6935
Troy,0.2792,-0.4997,1.0248,0.611,0.4136,-0.4617,0.7436,0.4173,0.3369
Maine,0.3025,0.0302,0.6207,0.688,0.867,-0.4617,0.4416,0.9432,-0.3278
Memphis,0.2811,-0.4997,1.5348,0.4571,-0.5721,-0.4617,0.7436,-0.5291,0.4492
