Team,Record,NET_Rank
Western Carolina,15-16,229
San Diego,9-20,230
Northern Arizona,10-23,231
Maryland-Eastern Shore,14-13,232
Campbell,14-18,233
South Carolina,11-21,234
Northern Colorado,12-19,235
Jacksonville,10-16,236
Purdue Fort Wayne,15-15,237
North Florida,12-17,238
North Alabama,15-15,239
Maryland-Baltimore County,17-14,240
Jacksonville State,10-18,241
Southeast Missouri State,17-17,242
Georgetown,7-25,243
Alcorn State,18-14,244
Western Illinois,13-14,245
Niagara,15-15,246
Robert Morris,14-17,247
Army,15-16,248
Portland State,10-19,249
Tennessee-Martin,15-14,250
UT Arlington,8-21,251
Northern Illinois,12-18,252
Idaho State,9-21,253
Winthrop,13-17,254
South Carolina Upstate,14-16,255
Southeastern Louisiana,15-14,256
Southern Indiana,13-17,257
Bellarmine,12-18,258
Boston University,14-17,259
Texas-Rio Grande Valley,11-17,260
American,17-15,261
Canisius,9-20,262
Nicholls State,12-15,263
Fairfield,12-18,264
Rhode Island,9-22,265
East Tennessee State,10-20,266
Mount St. Mary's,12-20,267
New Hampshire,13-15,268
Loyola (IL),10-21,269
Tennessee Tech,13-17,270
Lafayette,11-23,271
Oakland,12-19,272
North Dakota,11-20,273
Lehigh,14-14,274
Maine,11-17,275
Southern,13-17,276
UC San Diego,8-20,277
Prairie View,11-19,278
Dartmouth,8-18,279
Tennessee State,14-14,280
Illinois State,11-21,281
Marist,13-20,282
Arkansas State,10-20,283
Bowling Green State,9-20,284
Illinois-Chicago,11-20,285
Miami (OH),9-20,286
Denver,13-17,287
UTSA,8-22,288
Valparaiso,10-21,289
High Point,12-17,290
Georgia State,7-21,291
Morgan State,11-16,292
Coastal Carolina,8-20,293
Texas Southern,12-21,294
Bucknell,11-20,295
Louisiana-Monroe,8-21,296
Cal State Bakersfield,9-22,297
South Dakota,10-19,298
Chicago State,7-20,299
Binghamton,11-18,300
Fairleigh Dickinson,19-16,301
Manhattan,11-18,302
Texas A&M-Commerce,12-20,303
Charleston Southern,8-21,304
Jackson State,14-19,305
Saint Peter's,13-18,306
Merrimack,16-16,307
Cal Poly,6-25,308
Kansas City,10-20,309
Idaho,8-22,310
Wagner,13-13,311
Northeastern,10-20,312
California,3-29,313
Stonehill,13-17,314
Louisville,4-28,315
William & Mary,11-20,316
Omaha,8-23,317
North Carolina A&T,10-19,318
Alabama A&M,12-18,319
Eastern Michigan,7-23,320
Loyola (MD),11-20,321
Little Rock,8-21,322
Western Michigan,5-23,323
Tulsa,5-25,324
Austin Peay,6-22,325
Sacred Heart,15-17,326
Stony Brook,9-22,327
Coppin State,9-23,328
Central Michigan,8-21,329
Central Arkansas,8-22,330
The Citadel,9-22,331
Arkansas-Pine Bluff,6-21,332
Cal State Northridge,5-25,333
NJIT,6-23,334
Elon,6-24,335
Saint Francis (PA),11-18,336
Holy Cross,8-22,337
Lindenwood,8-21,338
McNeese State,10-23,339
New Orleans,10-20,340
Columbia,5-22,341
Albany (NY),6-23,342
Central Connecticut State,10-22,343
Eastern Illinois,7-22,344
Incarnate Word,9-19,345
Alabama State,7-23,346
South Carolina State,4-26,347
Bethune-Cookman,10-20,348
Hampton,7-24,349
Evansville,5-27,350
Monmouth,7-26,351
Presbyterian,3-27,352
St. Francis (NY),12-16,353
VMI,4-25,354
Delaware State,5-23,355
Lamar,6-22,356
Houston Christian,7-22,357
Mississippi Valley State,5-27,358
Florida A&M,5-22,359
IUPUI,3-27,360
Green Bay,3-29,361
Long Island University,1-26,362
Non D1,2-23,363
