RPI,Team,Record,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4
80,Clemson,23-11,132,8-3,161,302,15-2,5-6,3-3,4-4,3-2,7-3,9-2
81,UNC Asheville,25-8,285,6-5,121,199,11-0,10-6,4-2,0-2,1-2,4-2,20-2
82,Oregon,21-15,37,6-5,113,12,15-6,4-6,2-3,2-7,2-5,9-3,8-0
83,Fordham,25-8,207,12-1,69,333,18-2,6-5,1-1,0-2,4-2,3-3,18-1
84,Belmont,20-11,145,6-4,85,93,11-2,7-7,2-2,1-1,2-5,8-4,9-1
85,Michigan,18-16,28,6-5,155,62,13-4,3-8,2-4,1-11,8-3,4-1,5-1
86,UNC Wilmington,22-10,189,8-3,31,82,9-3,8-6,5-1,1-5,2-2,2-2,17-1
87,Eastern Kentucky,20-14,108,4-6,145,48,11-2,5-10,4-2,0-5,4-2,7-5,9-2
88,Virginia Tech,19-15,51,10-1,17,109,13-4,2-10,4-1,3-7,3-3,3-4,10-1
89,Southern Utah,20-13,123,4-5,165,120,9-2,5-8,6-3,0-4,3-4,7-5,10-0
90,Iowa,19-14,66,8-3,120,181,14-3,4-7,1-4,2-7,7-4,4-2,6-1
91,Montana State,23-10,213,5-6,101,52,10-1,10-5,3-4,0-2,2-3,3-4,18-1
92,Grand Canyon,21-12,112,7-4,89,63,11-4,5-5,5-3,2-3,2-2,6-6,11-1
93,Wake Forest,19-14,87,8-3,118,233,13-3,4-8,2-3,2-7,2-4,4-2,11-1
94,Tulane,20-11,125,7-4,218,295,12-3,5-4,3-4,2-5,2-1,7-4,9-1
95,Akron,20-11,150,6-5,146,94,13-1,5-6,2-4,0-6,1-2,6-3,13-0
96,George Mason,20-13,104,8-5,94,59,14-2,4-7,2-4,0-3,4-4,5-3,11-3
97,Nevada-Las Vegas,18-13,75,10-1,40,147,9-8,5-5,4-0,2-8,3-1,5-3,8-1
98,UC Santa Barbara,25-8,277,7-2,95,322,10-3,10-4,5-1,0-1,2-2,6-3,17-2
99,Colgate,25-9,252,5-7,189,178,13-2,11-4,1-3,0-2,0-1,4-5,21-1
100,Loyola Marymount,18-12,103,9-4,86,126,12-3,4-7,2-2,2-4,3-2,3-5,10-1
101,Rutgers,19-15,55,8-3,136,196,14-6,4-7,1-2,5-4,4-5,3-5,7-1
102,Oklahoma,15-17,17,10-3,59,117,9-7,2-8,4-2,3-11,3-5,6-1,3-0
103,Florida,16-17,27,7-6,137,69,10-6,4-7,2-4,2-12,2-3,5-2,7-0
104,Central Florida,19-15,85,9-3,67,83,11-6,5-7,3-2,1-7,3-4,6-3,9-1
105,Massachusetts-Lowell,24-8,336,11-2,114,356,15-0,9-8,0-0,0-2,1-1,4-1,19-4
106,Cal State Fullerton,18-13,146,4-6,188,127,9-2,7-8,2-3,0-2,3-4,6-3,9-4
107,James Madison,19-11,186,6-4,154,277,9-3,8-6,2-2,1-3,3-2,7-2,8-4
108,Charlotte,22-14,142,9-2,88,291,11-4,5-8,6-2,2-6,3-1,7-4,10-3
109,Brigham Young,17-15,60,8-5,135,103,11-4,2-7,4-4,1-7,2-5,4-1,10-2
110,South Dakota State,18-13,161,4-7,103,14,9-2,6-9,3-2,1-5,0-1,2-7,15-0
111,Old Dominion,18-12,129,7-4,77,58,11-4,6-5,1-3,0-2,5-3,5-4,8-3
112,Washington State,17-17,67,5-6,127,38,10-4,5-8,2-5,1-8,3-4,6-3,7-2
113,Troy,17-13,143,5-5,129,140,8-3,7-8,2-2,0-5,1-2,6-5,10-1
114,UC Riverside,21-12,205,6-5,147,225,8-4,9-7,4-1,0-1,2-5,6-3,13-3
115,Seattle,18-12,174,7-4,107,202,10-2,7-7,1-3,1-3,1-2,5-5,11-2
116,Colorado,18-17,49,8-3,34,21,13-5,2-9,3-3,3-6,1-4,8-5,6-2
117,Villanova,17-17,81,6-5,149,142,10-4,5-9,2-4,1-10,2-4,8-2,6-1
118,Nebraska,16-16,68,7-4,128,191,11-4,4-9,1-3,1-8,5-4,2-3,8-1
119,Seton Hall,16-16,71,6-4,125,101,9-6,6-7,1-3,3-7,1-4,5-3,7-2
120,Ohio State,16-19,24,8-3,92,170,10-6,1-10,5-3,2-9,4-9,4-0,6-1
121,UC Irvine,21-12,210,5-5,160,171,9-4,9-7,3-1,0-2,3-2,4-4,14-4
122,Northern Kentucky,20-13,155,3-6,177,6,12-3,6-6,2-4,0-2,1-3,7-6,12-2
123,San Francisco,19-14,121,10-4,152,287,10-5,5-6,4-3,0-7,4-4,4-1,11-2
124,Towson,21-12,223,8-5,173,304,10-2,8-7,3-3,0-3,3-2,4-3,14-4
125,UNC Greensboro,18-12,182,4-7,162,40,9-3,8-6,1-3,0-2,3-2,3-5,12-3
126,Missouri State,16-15,96,3-6,207,53,9-4,5-8,2-3,1-3,3-6,4-3,8-3
127,Davidson,15-16,76,6-5,151,118,6-8,6-6,3-2,0-6,2-3,6-4,7-3
128,Temple,16-16,78,6-7,199,116,9-7,6-6,1-3,2-4,2-3,6-7,6-2
129,Duquesne,20-13,136,10-3,111,182,16-4,3-7,1-2,1-2,1-3,7-6,11-2
130,Cornell,15-11,192,8-3,65,228,9-2,6-8,0-1,0-3,2-2,2-5,11-1
131,Eastern Washington,22-11,299,5-7,216,226,10-2,10-7,2-2,0-2,2-3,2-4,18-2
132,South Alabama,17-16,124,5-6,172,139,8-4,4-10,5-2,1-7,1-3,5-3,10-3
133,Texas Tech,16-16,72,11-2,131,335,11-6,3-7,2-3,3-11,2-3,3-2,8-0
134,Indiana State,22-13,224,6-4,201,313,10-4,7-6,5-3,0-2,3-5,3-3,16-3
135,Morehead State,18-12,250,3-6,181,70,10-2,8-9,0-1,0-5,1-0,3-1,14-6
136,Youngstown State,22-10,309,6-3,153,318,12-3,9-6,1-1,0-0,0-2,7-5,15-3
137,Lipscomb,17-13,231,5-5,195,314,10-2,7-11,0-0,0-3,1-1,6-3,10-6
138,Pennsylvania,16-13,165,7-7,184,200,10-4,6-8,0-1,0-5,1-4,6-1,9-3
139,Milwaukee,19-12,214,3-4,183,68,12-3,6-7,1-2,0-2,1-0,7-5,11-5
140,St. John's (NY),18-15,110,10-1,61,320,12-7,3-8,3-0,1-9,1-3,6-3,10-0
141,Syracuse,17-15,105,7-4,203,240,11-7,5-6,1-2,0-5,1-6,7-2,9-2
142,Western Kentucky,15-16,115,6-3,171,343,7-5,5-9,3-2,1-7,3-2,2-6,9-1
143,Colorado State,14-18,57,7-5,123,96,8-7,4-8,2-3,1-11,2-3,3-2,8-2
144,Wichita State,17-15,119,7-5,175,161,8-8,7-4,2-3,0-5,3-5,4-3,10-2
145,Stetson,15-14,176,3-6,169,131,7-3,7-9,1-2,0-2,0-4,8-6,7-2
146,Samford,18-10,301,3-6,302,321,10-2,8-7,0-1,0-1,1-3,3-4,14-2
147,Rice,16-16,109,6-2,90,258,8-7,6-7,2-2,1-8,0-3,8-1,7-4
148,Stephen F. Austin,16-13,159,5-5,150,86,9-4,6-5,1-4,0-2,1-5,6-3,9-3
149,Murray State,16-15,171,4-5,241,297,10-2,3-11,3-2,1-5,1-5,3-5,11-0
150,Texas A&M-Corpus Christi,20-11,316,3-6,225,143,9-2,8-7,3-2,0-4,0-0,5-1,15-6
151,Cleveland State,20-13,274,4-5,213,273,12-2,7-9,1-2,0-1,0-4,5-7,15-1
152,Ohio,18-14,216,7-5,138,215,13-1,4-11,1-2,0-3,0-5,7-3,11-3
153,Quinnipiac,19-12,278,8-2,64,260,8-4,9-6,2-2,0-2,2-1,3-1,14-8
154,Norfolk State,18-11,317,7-5,97,207,6-2,6-8,6-1,0-4,0-1,2-4,16-2
155,Radford,19-15,244,4-7,186,164,8-3,7-10,4-2,0-3,1-2,3-3,15-7
156,Washington,16-16,102,8-3,115,158,12-6,2-9,2-1,1-7,2-3,3-4,10-2
157,Butler,14-18,84,8-3,83,157,10-6,3-10,1-2,2-10,1-4,4-3,7-1
158,Northwestern State,21-11,335,7-5,106,187,9-3,10-7,2-1,1-2,1-1,2-4,17-4
159,Howard,19-13,287,5-9,222,174,9-2,6-8,4-3,0-4,0-1,6-4,13-4
160,Ball State,18-12,283,7-4,167,310,10-2,6-7,2-3,1-1,1-6,2-2,14-3
161,Bryant,15-13,217,7-4,71,115,7-4,7-8,1-1,0-4,0-2,4-3,11-4
162,Boston College,16-17,116,6-5,247,280,9-7,4-7,3-3,1-7,3-2,4-5,8-3
163,Hawaii,21-11,275,8-3,196,308,13-5,6-4,2-2,0-0,1-5,5-5,15-1
164,Utah,17-15,149,7-4,219,298,12-5,4-7,1-3,1-5,1-7,4-1,11-2
165,Louisiana Tech,12-18,88,4-4,179,232,7-6,4-11,1-1,0-9,0-3,4-6,8-0
166,Grambling,22-9,360,5-5,141,180,9-1,9-6,4-2,1-2,0-2,1-0,20-5
167,Brown,14-13,198,7-6,174,241,7-5,7-8,0-0,0-5,1-2,3-4,10-2
168,St. Thomas,17-14,242,7-4,108,249,10-2,4-11,3-1,0-4,0-2,3-4,14-4
169,Queens (NC),15-15,206,7-3,99,306,5-5,7-10,3-0,1-2,1-5,3-5,10-3
170,Tarleton State,13-17,128,4-6,158,77,8-2,2-12,3-3,0-4,2-5,4-6,7-2
171,Massachusetts,15-16,133,9-3,68,119,8-6,3-8,4-2,0-2,2-3,6-9,7-2
172,Montana,16-14,228,5-6,109,43,8-4,6-9,2-1,0-3,0-3,3-4,13-4
173,Maryland-Eastern Shore,14-13,243,4-7,130,65,6-3,7-9,1-1,0-3,1-3,2-5,11-2
174,Long Beach State,15-16,177,4-6,112,32,7-5,6-9,2-2,0-4,2-3,3-5,10-4
175,UC Davis,16-14,226,5-5,163,204,8-4,5-9,3-1,0-1,0-5,1-7,15-1
176,Georgia,16-16,134,10-3,142,324,13-4,1-10,2-2,0-7,3-4,2-4,11-1
177,North Carolina Central,14-12,273,3-7,211,67,9-1,4-10,1-1,0-3,0-0,4-7,10-2
178,Mississippi,12-21,43,8-5,122,84,7-10,2-9,3-2,1-11,0-5,3-2,8-3
179,Louisiana State,14-19,70,11-2,102,270,10-8,0-9,4-2,1-11,3-3,1-4,9-1
180,Navy,17-13,270,6-5,132,205,8-6,9-7,0-0,0-2,2-1,2-2,13-8
181,Richmond,15-18,107,7-6,178,145,12-4,1-11,2-3,0-4,3-4,4-8,8-2
182,Buffalo,13-17,111,4-7,159,17,9-4,3-9,1-4,0-6,1-5,3-4,9-2
183,North Alabama,15-15,249,5-5,157,275,6-4,8-10,1-1,0-2,2-5,4-5,9-3
184,Harvard,12-14,175,7-5,133,179,4-7,7-6,1-1,0-4,2-3,2-3,8-4
185,Alcorn State,18-14,333,3-9,156,44,7-2,10-10,1-2,0-3,0-4,3-3,15-4
186,Florida Gulf Coast,16-15,235,9-3,49,150,7-5,6-9,3-1,1-3,0-2,5-6,10-4
187,North Dakota State,14-17,172,1-9,296,104,7-4,5-10,2-3,0-6,0-3,3-2,11-6
188,Bellarmine,12-18,147,2-8,261,125,5-6,6-12,1-0,0-5,0-6,5-3,7-4
189,Delaware,16-16,199,7-5,134,162,9-5,4-10,3-1,1-3,1-3,4-6,10-4
190,Longwood,18-12,334,6-5,212,339,10-3,8-8,0-1,0-1,0-2,2-4,16-5
191,George Washington,15-16,162,5-7,300,252,10-6,5-6,0-4,0-2,2-2,3-9,10-3
192,Weber State,16-15,276,3-8,262,234,6-4,8-8,2-3,1-0,0-4,2-6,13-5
193,Texas State,14-18,173,5-5,227,328,2-9,7-7,5-2,0-3,4-6,1-6,9-3
194,Saint Joseph's,16-17,169,6-6,255,248,10-6,4-7,2-4,0-2,1-7,3-5,12-3
195,UTEP,12-18,95,5-4,209,220,9-7,3-10,0-1,0-8,2-1,2-9,8-0
196,Georgia Southern,14-16,187,4-6,246,237,9-4,3-11,2-1,0-6,1-2,3-5,10-3
197,Appalachian State,13-16,164,4-6,204,114,7-7,6-7,0-2,0-2,2-6,1-5,10-3
198,Rider,15-14,258,2-6,315,285,7-5,8-6,0-3,1-1,0-2,0-6,14-5
199,St. Bonaventure,14-18,137,6-7,245,235,11-4,2-11,1-3,1-2,1-3,5-7,7-6
200,Chattanooga,15-17,208,5-5,110,81,6-7,6-9,3-1,1-1,0-3,4-10,10-3
201,Georgia Tech,13-18,131,6-3,164,257,9-6,3-9,1-3,1-6,0-6,3-4,9-2
202,La Salle,15-19,163,6-7,244,238,8-8,5-8,2-3,0-3,0-5,6-5,9-6
203,Southeast Missouri State,17-17,279,3-8,223,138,7-4,5-11,5-2,0-2,1-1,2-7,14-7
204,North Florida,12-17,180,3-7,197,105,9-2,3-14,0-1,0-5,1-2,4-5,7-5
205,Northern Iowa,13-18,135,3-6,277,159,7-8,4-7,2-3,0-3,1-7,3-5,9-3
206,Stanford,14-19,130,6-5,237,261,9-6,2-8,3-5,1-8,0-5,4-4,9-2
207,Florida International,12-18,117,4-5,305,305,9-7,3-10,0-1,1-7,2-0,4-7,5-4
208,SIU Edwardsville,16-14,312,6-4,93,167,6-5,7-8,3-1,1-1,0-2,2-4,13-7
209,DePaul,10-23,56,6-5,144,121,7-8,2-12,1-3,1-10,0-7,3-5,6-1
210,Niagara,15-15,269,4-4,251,347,8-4,4-10,3-1,0-3,0-1,4-2,11-9
211,Western Carolina,15-16,264,4-6,228,272,6-5,6-9,3-2,0-1,0-5,2-6,13-4
212,Fresno State,10-20,91,4-7,252,208,6-7,4-9,0-4,0-9,4-2,2-7,4-2
213,Utah Tech,11-19,138,5-5,140,213,6-5,3-13,2-1,0-4,0-6,5-6,6-3
214,East Carolina,16-17,197,9-4,200,340,10-6,2-9,4-2,0-4,2-5,2-6,12-2
215,Jacksonville,10-16,184,4-4,63,90,4-6,6-10,0-0,1-3,0-2,1-7,8-4
216,South Carolina Upstate,14-16,262,3-6,238,230,9-2,4-12,1-2,0-2,0-3,3-7,11-4
217,Siena,17-15,310,6-5,242,349,8-5,7-8,2-2,0-1,1-0,3-5,13-9
218,Portland,12-19,122,6-7,221,188,8-7,2-10,2-2,0-6,0-7,3-4,9-2
219,Wyoming,8-22,32,4-7,214,51,6-8,1-8,1-6,1-9,1-5,2-6,4-2
220,Abilene Christian,9-17,126,4-5,194,212,5-5,4-8,0-4,0-4,1-3,1-7,7-3
221,California Baptist,15-16,225,7-5,274,352,10-5,4-8,1-3,0-3,0-5,5-2,10-6
222,Purdue Fort Wayne,15-15,294,6-3,79,175,7-6,7-8,1-1,0-2,1-2,3-8,11-3
223,New Mexico State,6-15,86,4-5,124,79,3-4,1-9,2-2,0-4,1-4,2-5,3-2
224,Southern Methodist,10-22,69,5-8,206,64,7-9,1-11,2-2,2-6,0-8,1-7,7-1
225,Lehigh,14-14,296,3-6,263,239,7-6,7-8,0-0,0-1,0-3,1-3,13-7
226,Pacific,14-17,220,6-7,279,338,6-9,7-7,1-1,1-2,1-5,3-6,9-4
227,South Florida,14-18,170,7-6,254,269,9-9,4-7,1-2,0-6,2-2,4-6,8-4
228,New Hampshire,13-15,251,3-7,311,292,9-4,4-11,0-0,0-1,1-3,2-5,10-6
229,South Carolina,11-21,106,7-6,232,288,7-8,4-8,0-5,1-9,0-5,4-5,6-2
230,Southeastern Louisiana,15-14,323,3-7,210,106,7-4,7-8,1-2,0-2,0-2,2-6,13-4
231,Gardner-Webb,13-16,266,3-7,235,190,6-5,6-10,1-1,0-1,0-2,2-8,11-5
232,Air Force,14-18,178,9-4,260,359,10-9,4-9,0-0,0-8,1-4,3-1,10-5
233,Maryland-Baltimore County,17-14,332,9-5,193,344,12-4,5-10,0-0,0-2,0-5,2-2,15-5
234,Florida State,9-23,80,2-9,316,124,5-11,4-7,0-5,2-6,0-6,0-7,7-4
235,Wofford,14-16,272,5-5,187,263,9-4,4-11,1-1,1-2,0-2,3-7,10-5
236,Wright State,16-15,320,5-4,192,309,7-6,7-8,2-1,0-0,0-2,5-9,11-4
237,Western Illinois,13-14,300,4-4,233,334,8-4,5-9,0-1,0-2,0-2,1-5,12-5
238,Drexel,16-15,307,5-6,236,221,11-3,3-9,2-3,0-1,1-5,4-4,11-5
239,Detroit Mercy,13-19,221,3-7,215,129,8-5,5-13,0-1,0-2,0-3,4-10,9-4
240,Tennessee-Martin,15-14,338,4-5,229,301,10-2,4-11,1-1,0-1,0-2,2-3,13-8
241,Maine,11-17,236,4-7,220,244,6-4,5-12,0-1,0-1,0-7,2-4,9-5
242,Boston University,14-17,297,6-6,180,254,8-4,6-11,0-2,0-1,0-2,1-5,13-9
243,Fairleigh Dickinson,19-16,352,5-8,258,307,8-5,8-9,3-2,1-2,0-0,1-2,17-12
244,Winthrop,13-17,261,3-8,291,203,8-4,4-11,1-2,0-3,1-3,2-6,10-5
245,Campbell,14-18,263,3-7,256,186,6-6,4-10,4-2,0-1,1-2,5-8,8-7
246,UT Arlington,8-21,113,2-8,273,135,3-8,4-9,1-4,0-4,2-5,3-7,3-5
247,Army,15-16,314,4-7,313,345,8-5,7-8,0-3,0-0,0-3,2-3,13-10
248,Merrimack,16-16,329,1-12,329,168,8-6,8-8,0-2,0-2,0-3,0-4,16-7
249,Fairfield,12-18,229,3-6,250,192,6-6,4-10,2-2,0-2,0-3,3-4,9-9
250,Oakland,12-19,211,1-9,327,111,7-6,5-10,0-3,0-3,1-3,4-9,7-4
251,American,17-15,355,8-3,191,360,8-6,9-9,0-0,0-0,0-2,4-1,13-12
252,Texas-Rio Grande Valley,11-17,193,6-4,143,231,8-6,3-10,0-1,0-3,1-3,2-8,8-3
253,Sacramento State,12-18,248,5-6,139,110,7-4,5-10,0-4,0-2,0-4,1-7,11-5
254,Binghamton,11-18,218,2-9,325,224,6-7,5-11,0-0,0-3,0-4,3-5,8-6
255,Nicholls State,12-15,325,1-7,267,76,7-2,4-12,1-1,0-3,0-2,2-5,10-5
256,Northern Illinois,12-18,293,3-8,259,247,4-6,7-10,1-2,0-5,2-2,0-7,10-4
257,Mount St. Mary's,12-20,239,3-7,276,281,4-9,7-10,1-1,0-4,0-1,3-5,9-10
258,Tennessee Tech,13-17,288,1-9,339,165,8-5,4-11,1-1,0-2,0-3,2-4,11-8
259,Stonehill,13-17,321,3-11,265,195,6-4,6-12,1-1,0-3,0-2,0-2,13-10
260,Notre Dame,11-21,100,8-3,117,122,11-8,0-10,0-3,0-6,2-4,3-9,6-2
261,Lafayette,11-23,204,2-11,280,148,5-7,5-16,1-0,0-3,0-3,3-8,8-9
262,Morgan State,11-16,305,4-8,185,132,6-2,3-12,2-2,0-3,1-2,3-6,7-5
263,Jacksonville State,10-18,212,4-6,234,278,6-5,3-12,1-1,0-4,0-4,3-5,7-5
264,Minnesota,9-22,101,6-4,293,348,6-11,1-9,2-2,0-6,1-11,2-4,6-1
265,UTSA,8-22,98,4-5,288,271,6-10,2-11,0-1,0-8,1-1,3-8,4-5
266,Pepperdine,7-22,77,5-7,168,35,6-8,0-12,1-2,0-6,0-7,4-5,3-4
267,Mercer,12-19,256,5-6,205,219,5-7,4-10,3-2,0-0,1-4,1-11,10-4
268,Northern Colorado,12-19,257,5-6,166,152,6-6,3-12,3-1,0-3,0-5,2-4,10-7
269,Manhattan,11-18,246,1-7,350,267,4-9,6-7,1-2,0-3,0-1,2-3,9-11
270,Dartmouth,8-18,179,2-10,336,250,5-5,3-11,0-2,1-1,1-4,2-7,4-6
271,Robert Morris,14-17,322,3-6,295,315,9-4,5-10,0-3,0-0,0-4,4-8,10-5
272,Southern Indiana,13-17,326,4-6,224,279,7-4,5-11,1-2,0-1,0-2,3-6,10-8
273,Marist,13-20,253,4-5,286,316,5-10,4-9,4-1,0-2,0-2,2-6,11-10
274,Louisiana-Monroe,8-21,160,1-9,349,214,4-8,4-10,0-3,1-4,0-7,2-5,5-5
275,Saint Peter's,13-18,306,4-4,249,346,7-6,4-11,2-1,0-2,0-2,3-4,10-10
