Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
328,UT Arlington,31,14,17,0.452,-1.19,0.68,8.0,10.0,8,6,6,7,2255,2307,76.6,93.5,0.395,0.2,0.497,49.7,55.7,12.6,7.2,0.454,19.0,31.8,0.273
329,Utah,32,27,5,0.844,30.23,13.38,14.0,3.0,16,0,9,3,2650,2111,73.7,112.0,0.355,0.392,0.592,53.8,63.0,9.8,7.9,0.553,17.1,32.8,0.276
330,Utah State,30,4,26,0.133,-19.43,0.33,1.0,17.0,2,12,2,13,1749,2305,73.3,79.5,0.291,0.393,0.433,44.1,50.5,11.3,7.2,0.385,19.3,25.4,0.216
331,Utah Tech,31,19,12,0.613,-1.79,-4.48,10.0,8.0,9,4,8,6,2327,2172,74.4,100.5,0.247,0.484,0.561,47.7,55.7,11.0,6.0,0.537,19.2,24.2,0.179
332,Utah Valley,30,6,24,0.2,-15.76,-1.72,3.0,15.0,5,9,1,14,1654,2038,67.5,80.4,0.271,0.332,0.46,46.3,68.2,12.7,6.1,0.425,22.0,23.8,0.189
333,UTEP,32,20,12,0.625,4.23,-0.14,12.0,8.0,11,3,7,7,2188,2048,68.4,98.7,0.362,0.311,0.504,51.0,54.9,10.0,4.9,0.463,17.1,33.6,0.255
334,UTSA,32,13,19,0.406,-0.47,2.06,9.0,11.0,8,4,3,12,2073,2154,70.7,91.0,0.272,0.279,0.484,54.4,53.9,9.4,12.9,0.447,21.3,37.6,0.199
335,Valparaiso,30,7,23,0.233,-11.7,0.13,5.0,15.0,3,12,4,10,1788,2143,69.3,85.7,0.332,0.459,0.524,46.1,56.0,8.9,4.1,0.487,24.7,20.6,0.237
336,Vanderbilt,31,12,19,0.387,8.1,11.58,3.0,13.0,9,7,3,9,2095,2203,70.6,94.9,0.321,0.333,0.508,45.6,52.2,11.8,7.4,0.466,18.4,29.4,0.238
337,Vermont,32,25,7,0.781,-3.47,-10.15,14.0,2.0,15,2,10,5,1961,1732,63.5,96.2,0.244,0.305,0.507,51.5,60.3,9.3,8.8,0.483,18.0,31.0,0.165
