Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
278,Southeast Missouri State,31,16,15,0.516,-10.9,-7.43,10.0,8.0,11,3,4,10,1909,1960,1245,651,1642,0.396,162,514,0.315,496,720,0.689,343,1106,386,248,83,628,506
279,Southeastern Louisiana,31,21,10,0.677,-3.64,-6.82,14.0,4.0,11,1,8,9,1924,1730,1250,628,1614,0.389,181,542,0.334,293,439,0.667,277,1103,361,201,94,569,490
280,Southern,33,18,15,0.545,-10.75,-5.49,12.0,6.0,10,2,5,12,1898,1990,1325,680,1661,0.409,159,563,0.282,471,752,0.626,344,1205,379,204,132,624,535
281,Southern California,31,21,10,0.677,22.21,13.05,11.0,7.0,15,2,6,5,1991,1707,1280,644,1820,0.354,136,500,0.272,283,389,0.728,384,1142,364,220,110,536,525
282,Southern Illinois,31,12,19,0.387,-1.17,0.41,8.0,12.0,6,9,5,8,2275,2324,1240,803,1812,0.443,209,568,0.368,509,715,0.712,355,1188,482,209,88,539,498
283,SIU Edwardsville,31,9,22,0.29,-18.4,-5.04,7.0,11.0,5,7,3,13,1983,2397,1245,890,1935,0.46,157,527,0.298,460,669,0.688,410,1211,507,356,107,510,575
284,Southern Indiana,29,12,17,0.414,-12.97,-9.51,6.0,12.0,8,6,4,11,1884,1851,1166,628,1618,0.388,178,590,0.302,417,599,0.696,319,1000,336,330,96,566,554
285,Southern Methodist,30,17,13,0.567,9.54,4.97,7.0,8.0,13,2,3,10,1887,1750,1210,642,1712,0.375,166,548,0.303,300,445,0.674,320,1042,379,241,144,493,511
286,Southern Mississippi,31,21,10,0.677,-3.51,-5.06,13.0,5.0,11,4,8,5,2003,1903,1255,672,1739,0.386,215,657,0.327,344,505,0.681,352,1023,399,226,72,536,538
287,Southern Utah,33,23,10,0.697,1.8,1.83,16.0,2.0,13,1,7,9,2266,2192,1345,817,2158,0.379,204,702,0.291,354,531,0.667,386,1138,428,317,79,373,636
