Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Texas-Rio Grande Valley,-0.9995,-1.1414,-0.8278,-1.3254,-1.6516,-0.6169,-0.8431,-1.8074,-0.2025
Northern Arizona,-1.1068,0.0142,-0.5024,-1.2488,-0.4795,-0.6169,-0.07,-0.4476,-0.4223
Wagner,-1.1197,-0.4018,-1.4019,-1.1818,-0.1578,-0.6169,-0.8431,-0.5509,-1.3837
Bellarmine,-1.1503,-1.7192,0.9713,-1.3349,-1.755,-0.6169,-0.8431,-1.9975,-0.9378
Alcorn State,-1.0702,-2.0658,1.4785,-1.1244,-1.0426,-0.6169,-0.8431,-0.5509,-1.9916
South Dakota,-1.115,-0.6793,-1.4593,-1.3062,-0.9047,-0.6169,-0.8431,-1.3399,-0.7429
Army,-1.1924,-1.3095,-1.0,-1.3541,-0.9047,-0.6169,-0.8431,-1.1429,-1.5321
Navy,-1.2332,-0.8178,-1.5263,-1.3732,-1.192,-0.6169,-0.8431,-1.2744,-1.5321
Sacramento State,-1.2474,-1.3095,-0.11,-1.4593,-1.755,-0.6169,-0.8431,-1.932,-0.4223
Charleston Southern,-1.1863,-1.6498,0.7033,-1.3158,-1.192,-0.6169,-0.8431,-1.2744,-0.301
Bethune-Cookman,-1.1836,-0.9314,-1.1053,-1.2871,-0.3761,-0.6169,-0.8431,-0.7483,-1.9916
Eastern Michigan,-1.2488,-0.1751,-1.4976,-1.4115,-0.7323,-0.6169,-0.8431,-1.0674,-0.514
Texas A&M-Commerce,-1.2529,-0.8178,1.1914,-1.4211,-0.9047,-0.6169,0.1876,-1.0934,-1.3825
Cal Poly,-1.2821,-0.9314,-0.799,-1.5167,-2.1457,-0.6169,-0.8431,-2.129,-0.1379
Southern Indiana,-1.2413,-2.0658,0.6459,-1.4306,-1.5424,-0.6169,2.2493,-1.8942,-1.1185
NJIT,-1.3194,-0.9314,-0.6364,-1.3923,-1.3528,-0.6169,0.7031,-1.5153,-0.0818
Prairie View,-1.2372,-0.9314,0.6842,-1.2775,-0.8185,-0.6169,-0.8431,-0.8933,-1.9916
Northwestern State,-1.2916,-2.0658,-0.5598,-1.4402,-1.3298,-0.6169,-0.8431,-1.4189,-1.3825
