Team,Record,NET_Rank
Michigan,8-18,117
Louisiana,15-10,118
California,11-15,119
Seattle,15-10,120
Chattanooga,16-9,121
Tulane,12-12,122
Eastern Washington,15-9,123
Western Carolina,16-8,124
Northern Iowa,14-12,125
Oklahoma State,11-14,126
Oakland,18-10,127
Colgate,18-8,128
Drexel,16-10,129
Weber State,15-9,130
UNC Greensboro,17-8,131
Toledo,16-9,132
Hofstra,15-11,133
Youngstown State,15-9,134
Arkansas,12-13,135
Arizona State,13-13,136
Western Kentucky,16-7,137
Murray State,10-16,138
Massachusetts-Lowell,14-7,139
Troy,15-9,140
Georgia Tech,11-15,141
Missouri State,15-12,142
Belmont,15-11,143
Montana,14-9,144
Delaware,16-10,145
UNC Asheville,16-9,146
Missouri,8-17,147
Tarleton State,15-7,148
Quinnipiac,18-6,149
Furman,13-11,150
St. Thomas,14-10,151
Notre Dame,9-16,152
Wright State,13-12,153
Towson,15-11,154
Long Beach State,15-9,155
West Virginia,8-17,156
Bryant,15-10,157
Arkansas State,13-14,158
Winthrop,13-11,159
Wichita State,9-16,160
UT Arlington,11-13,161
Wyoming,11-12,162
Utah Valley,10-14,163
Stephen F. Austin,12-11,164
Lipscomb,15-11,165
Kent State,11-12,166
Purdue Fort Wayne,15-10,167
Hawaii,13-12,168
Ohio,12-12,169
South Dakota State,12-12,170
Fairfield,15-10,171
Oregon State,10-15,172
Iona,13-12,173
Harvard,12-9,174
East Carolina,13-12,175
Evansville,14-12,176
UC Davis,13-11,177
Illinois-Chicago,9-17,178
Gardner-Webb,10-14,179
Sam Houston,13-11,180
Northern Colorado,14-10,181
California Baptist,12-11,182
Longwood,13-11,183
Rhode Island,10-14,184
Wofford,12-12,185
Green Bay,15-10,186
Jacksonville State,9-14,187
UC Santa Barbara,12-11,188
Monmouth,15-12,189
Northern Kentucky,12-13,190
Illinois State,12-14,191
Marist,14-9,192
New Hampshire,13-10,193
Texas A&M-Corpus Christi,11-10,194
Louisville,8-18,195
Southern,13-9,196
Fordham,10-15,197
Eastern Kentucky,12-11,198
Columbia,10-9,199
Tulsa,12-12,200
Cleveland State,15-11,201
Merrimack,15-10,202
Georgetown,8-17,203
George Washington,13-11,204
Georgia State,10-14,205
Loyola Marymount,9-16,206
Stetson,14-10,207
Fresno State,10-15,208
Cal State Northridge,15-10,209
Tennessee-Martin,13-10,210
East Tennessee State,11-14,211
UTEP,10-13,212
Austin Peay,12-13,213
Stony Brook,13-13,214
Southern Mississippi,13-12,215
Saint Peter's,12-11,216
Little Rock,16-11,217
Vanderbilt,7-18,218
Lamar,12-11,219
Portland State,13-11,220
Pennsylvania,7-15,221
Norfolk State,12-9,222
Saint Louis,8-16,223
San Jose State,8-17,224
Western Illinois,13-10,225
Denver,11-13,226
Marshall,11-15,227
La Salle,11-14,228
San Diego,14-12,229
Mount St. Mary's,11-15,230
Maine,10-15,231
Niagara,13-11,232
Central Connecticut State,13-10,233
Miami (OH),10-13,234
UC Riverside,10-15,235
Northeastern,10-17,236
Bowling Green State,14-9,237
North Dakota,14-11,238
Central Michigan,14-10,239
North Florida,12-13,240
Rice,8-16,241
Milwaukee,12-13,242
Pepperdine,9-17,243
North Dakota State,10-14,244
Brown,6-17,245
Temple,8-17,246
North Alabama,11-14,247
Montana State,9-14,248
Radford,11-14,249
Texas State,9-16,250
Idaho State,9-16,251
Cal State Fullerton,9-15,252
Mercer,10-14,253
Kennesaw State,11-13,254
South Alabama,11-13,255
Florida Gulf Coast,8-16,256
Albany (NY),11-14,257
The Citadel,7-17,258
Southern Utah,7-17,259
Omaha,9-15,260
Abilene Christian,9-15,261
Air Force,8-16,262
Kansas City,9-15,263
Oral Roberts,8-15,264
Canisius,9-15,265
Ball State,10-13,266
Nicholls State,10-12,267
Utah Tech,9-16,268
North Carolina Central,9-10,269
Howard,9-14,270
Rider,9-16,271
New Mexico State,7-15,272
SIU Edwardsville,12-12,273
Tennessee State,11-12,274
Queens (NC),9-17,275
Binghamton,10-13,276
Cal State Bakersfield,8-16,277
Southeastern Louisiana,10-13,278
American,13-13,279
Jackson State,11-14,280
Robert Morris,8-17,281
Jacksonville,10-14,282
UTSA,7-18,283
Old Dominion,5-21,284
Lehigh,8-15,285
South Carolina Upstate,6-17,286
Campbell,9-15,287
Texas Southern,8-14,288
Valparaiso,5-21,289
Presbyterian,9-16,290
Le Moyne,9-14,291
Sacred Heart,11-14,292
Chicago State,9-18,293
Bucknell,10-17,294
Northern Illinois,7-16,295
Boston University,10-16,296
Louisiana-Monroe,8-15,297
Middle Tennessee,9-15,298
Florida International,7-18,299
Maryland-Baltimore County,8-18,300
Alcorn State,7-17,301
Wagner,10-12,302
Idaho,8-16,303
Alabama State,8-14,304
Lafayette,10-16,305
Elon,10-15,306
South Carolina State,7-16,307
Western Michigan,7-17,308
Prairie View,8-15,309
