Team,Record,NET_Rank
Rice,14-17,215
Southern,15-14,216
UNC Asheville,14-15,217
Campbell,13-13,218
San Diego,13-16,219
UC Davis,12-10,220
Eastern Washington,16-16,221
California Baptist,15-16,222
Georgia,6-26,223
Kennesaw State,9-18,224
La Salle,11-19,225
George Washington,12-18,226
Dartmouth,8-16,227
Harvard,10-13,228
The Citadel,10-18,229
Siena,15-14,230
Quinnipiac,13-17,231
Stony Brook,17-13,232
Maryland-Baltimore County,17-14,233
New Hampshire,13-13,234
Purdue Fort Wayne,19-12,235
UT Arlington,9-18,236
Detroit Mercy,13-16,237
Indiana State,8-20,238
Western Illinois,14-16,239
Rider,13-19,240
Howard,13-13,241
Marshall,10-21,242
Texas A&M-Corpus Christi,19-12,243
Long Island University,15-14,244
South Florida,8-23,245
Youngstown State,17-15,246
Massachusetts-Lowell,12-16,247
Georgia Southern,10-16,248
Manhattan,14-15,249
Southeast Missouri State,12-18,250
Northeastern,9-22,251
Canisius,10-21,252
Elon,8-22,253
Mount St. Mary's,13-16,254
Oregon State,3-28,255
Miami (OH),11-18,256
Montana,15-14,257
High Point,11-18,258
Southeastern Louisiana,15-15,259
Loyola (MD),13-16,260
Tennessee Tech,9-21,261
Alcorn State,17-17,262
South Carolina Upstate,13-17,263
Air Force,11-18,264
Ball State,13-17,265
Florida International,13-17,266
New Orleans,15-14,267
Lipscomb,11-19,268
Eastern Kentucky,9-18,269
Presbyterian,9-20,270
Portland State,12-17,271
UC San Diego,11-16,272
Utah Tech,9-18,273
Tennessee State,12-18,274
North Florida,8-20,275
Louisiana-Monroe,10-18,276
Jackson State,11-19,277
Duquesne,6-24,278
Army,13-16,279
Cal State Bakersfield,6-19,280
Non D1,12-20,282
Illinois-Chicago,13-16,283
Bowling Green State,11-18,284
Albany (NY),13-18,285
Pepperdine,6-25,285
North Carolina A&T,9-20,286
Western Carolina,10-21,287
Radford,9-18,288
Austin Peay,10-17,289
North Carolina Central,12-15,290
Merrimack,13-16,291
SIU Edwardsville,9-21,292
Northern Illinois,9-21,293
San Jose State,7-23,293
Binghamton,10-17,294
Prairie View,8-19,295
Denver,10-20,296
Pacific,6-22,298
Lehigh,12-19,299
Morgan State,9-15,300
Coppin State,9-23,301
South Carolina State,12-16,302
Tennessee-Martin,6-22,303
Grambling,10-20,304
Stetson,7-19,305
Eastern Michigan,9-21,306
Texas-Rio Grande Valley,6-23,307
Cal Poly,6-21,308
Maryland-Eastern Shore,8-16,309
Florida A&M,11-17,310
Sacramento State,9-18,311
Alabama State,9-21,312
McNeese State,7-22,313
St. Thomas,7-20,314
Little Rock,6-19,315
North Alabama,5-21,316
Central Arkansas,9-20,317
Central Michigan,7-23,318
Lafayette,9-20,319
Alabama A&M,12-18,320
St. Francis (NY),9-20,321
Hampton,7-19,322
Sacred Heart,9-20,323
UTSA,7-21,324
Idaho,7-22,325
Cal State Northridge,6-22,326
Evansville,5-24,327
Robert Morris,7-24,328
Western Michigan,6-22,329
Northwestern State,6-23,330
Saint Francis (PA),8-21,331
NJIT,10-18,332
Milwaukee,9-22,333
Bucknell,9-23,334
American,10-22,335
Northern Arizona,7-23,336
Bethune-Cookman,8-21,337
Houston Christian,7-18,338
William & Mary,4-27,339
Chicago State,7-25,340
Southern Mississippi,5-26,341
Idaho State,5-23,342
Holy Cross,7-22,343
Green Bay,4-25,344
Central Connecticut State,8-24,345
Omaha,4-25,346
Charleston Southern,3-25,347
North Dakota,4-25,348
Fairleigh Dickinson,4-22,349
Incarnate Word,5-24,350
Columbia,3-22,351
Arkansas-Pine Bluff,5-24,352
Maine,3-23,353
Lamar,0-27,354
Mississippi Valley State,2-26,355
Eastern Illinois,3-26,356
Delaware State,0-25,357
IUPUI,1-26,358
