RPI,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,Home,Road,Neutral,Q1,Q2,Q3,Q4,Avg_RPI_Ws,Avg_RPI_Ls
103,Louisiana Tech,18-13,103,123,8-3,61,144,13-1,4-10,1-2,1-3,0-2,11-7,6-1,190,134
104,Butler,16-17,104,49,9-4,70,75,12-4,2-10,2-3,0-8,8-7,4-2,4-0,124,67
105,South Florida,23-14,105,106,10-2,94,226,17-5,5-7,1-2,0-6,3-3,10-4,10-1,190,83
124,Abilene Christian,23-7,124,328,7-2,69,257,9-2,10-4,4-1,0-2,0-0,3-3,20-2,275,145
128,South Dakota State,23-9,128,308,9-5,147,256,13-1,7-6,3-2,0-3,0-2,6-2,17-2,253,154
131,Gardner-Webb,20-12,131,270,7-5,117,209,10-0,8-9,2-3,0-4,1-1,3-5,16-2,254,142
148,Sam Houston,18-12,148,277,2-8,292,201,9-2,8-9,1-1,0-3,1-2,3-4,14-3,273,158
150,Prairie View,21-13,150,320,1-11,255,83,10-0,9-12,2-1,0-3,0-1,2-8,19-1,301,143
162,Bradley,19-15,162,200,7-5,176,266,9-6,5-8,5-1,0-1,2-3,8-7,9-4,196,159
166,North Dakota State,17-16,166,197,4-8,166,40,8-3,4-9,5-4,0-5,0-4,2-3,15-4,269,133
176,Fairleigh Dickinson,19-14,176,272,3-7,239,173,11-4,7-9,1-1,0-1,1-2,4-4,14-7,246,191
197,Iona,17-16,197,250,2-9,279,122,8-3,6-9,3-4,0-3,0-1,5-4,12-8,250,180
200,Norfolk State,19-14,200,324,2-10,243,78,8-2,9-8,2-4,1-2,0-4,0-3,18-5,299,166
280,North Carolina Central,15-16,280,352,2-9,333,297,7-2,4-12,4-2,0-2,0-2,1-5,14-7,320,203
