Team,Record,NET_Rank
Samford,4-13,269
Sacred Heart,9-9,270
IUPUI,8-10,271
Saint Francis (PA),6-16,272
Cal State Northridge,8-13,273
Fairfield,10-17,274
Green Bay,8-17,275
Southeast Missouri State,11-16,276
North Alabama,9-11,277
William & Mary,7-10,278
High Point,9-15,279
Rider,6-17,280
Southern,8-11,281
Texas-Rio Grande Valley,5-10,282
Manhattan,7-13,283
Florida A&M,8-12,284
North Carolina A&T,9-10,285
Florida Gulf Coast,8-8,286
Purdue Fort Wayne,8-15,287
New Orleans,9-15,288
Troy,8-17,289
Louisiana-Monroe,7-19,290
Jacksonville,9-13,291
Illinois-Chicago,9-13,292
North Dakota,9-17,293
Towson,4-14,294
Grambling,11-12,295
Lehigh,4-11,296
North Florida,7-14,297
Florida International,5-17,298
Binghamton,4-14,299
Middle Tennessee,4-18,300
Western Michigan,4-16,301
Lamar,10-18,302
New Mexico,4-16,303
Eastern Illinois,9-18,304
Maine,2-7,305
Hampton,11-14,306
Central Michigan,5-15,307
Northwestern State,10-18,308
Western Illinois,6-15,309
Central Connecticut State,5-16,310
South Carolina Upstate,5-17,311
Howard,1-3,312
Robert Morris,3-15,313
Utah Tech,6-13,314
Presbyterian,6-15,315
Tennessee Tech,5-22,316
Eastern Michigan,3-12,317
Central Arkansas,4-19,318
Northern Arizona,6-16,319
SIU Edwardsville,8-17,320
Portland,3-15,321
Omaha,5-20,322
Cal Poly,3-20,323
Air Force,5-20,324
Alabama A&M,6-9,325
Tennessee State,3-19,326
Fordham,2-12,327
North Carolina Central,4-9,328
Alcorn State,6-13,329
Southeastern Louisiana,8-18,330
Incarnate Word,5-14,331
Houston Christian,5-19,332
San Jose State,3-16,333
Kennesaw State,2-19,334
Charleston Southern,2-18,335
McNeese State,4-14,336
Texas A&M-Corpus Christi,2-19,337
Tennessee-Martin,7-16,338
Northern Illinois,3-16,339
Denver,1-19,340
Delaware State,1-16,341
Arkansas-Pine Bluff,4-21,342
Alabama State,4-14,343
Idaho,1-21,344
South Carolina State,1-17,345
Chicago State,0-9,346
Mississippi Valley State,2-22,347
