Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
184,Western Michigan,MAC,6,15,65.3,70.7,-5.38,1.72,-2.3,-1.36,-3.66,63.6,65.36,-1.76
185,Saint Joseph's,A-10,7,10,60.8,58.6,2.18,-1.63,-4.79,0.97,-3.81,59.83,62.52,-2.69
186,Northern Colorado,Big Sky,14,12,64.8,63.8,0.96,-4.79,-4.68,0.85,-3.83,55.76,56.16,-0.4
187,Western Kentucky,CUSA,7,16,63.9,68.8,-4.96,1.07,-2.85,-1.04,-3.89,56.12,56.33,-0.22
188,Air Force,MWC,8,18,60.1,60.8,-0.65,2.18,-6.89,2.98,-3.91,38.21,42.63,-4.42
189,Omaha,Summit,7,13,61.9,68.7,-6.8,2.74,-4.21,0.15,-4.07,59.44,62.05,-2.61
190,Eastern Illinois,OVC,11,15,64.8,66.8,-1.92,-2.45,-1.71,-2.67,-4.37,65.64,67.25,-1.61
191,UT Arlington,Sun Belt,13,7,61.1,48.6,12.45,-9.91,-8.89,4.36,-4.52,45.78,44.86,0.92
192,Virginia,ACC,0,5,51.6,65.0,-13.4,8.88,-8.41,3.89,-4.53,56.22,58.82,-2.6
193,Cal State Bakersfield,Big West,9,9,60.0,61.4,-1.44,-3.19,-6.4,1.77,-4.63,52.35,56.78,-4.43
194,Kansas City,Summit,10,12,68.2,65.5,2.68,0.21,0.23,-4.87,-4.64,58.44,61.86,-3.42
195,Southern Utah,Big Sky,11,9,69.7,63.1,6.6,-7.82,-0.38,-4.39,-4.76,52.32,54.09,-1.76
196,Little Rock,Sun Belt,15,11,58.8,57.0,1.81,-6.58,-8.48,3.7,-4.78,55.97,55.83,0.14
197,San Diego State,MWC,7,17,35.5,,,2.93,-4.55,-0.24,-4.78,,,
198,UC Santa Barbara,Big West,7,14,66.0,70.8,-4.81,0.02,1.96,-6.75,-4.79,58.41,63.02,-4.61
199,Xavier,Big East,5,10,62.8,74.2,-11.4,6.58,-0.23,-4.6,-4.83,62.1,65.23,-3.13
200,Akron,MAC,7,14,67.5,70.3,-2.86,2.8,-1.01,-3.94,-4.95,60.17,63.15,-2.98
201,Mount St. Mary's,NEC,17,7,71.7,61.7,10.0,-14.98,-0.44,-4.54,-4.98,71.89,76.28,-4.39
202,UC Riverside,Big West,7,12,58.7,57.1,1.63,-2.82,-8.9,3.69,-5.21,43.22,48.25,-5.03
203,UAB,CUSA,10,13,69.3,64.7,4.57,-2.85,-0.23,-5.15,-5.38,56.04,57.9,-1.86
204,Robert Morris,Horizon,4,13,56.6,64.6,-8.0,2.57,-6.37,0.94,-5.43,61.01,65.78,-4.77
205,Davidson,A-10,8,15,62.5,66.6,-4.09,-1.45,-1.85,-3.69,-5.54,64.07,68.25,-4.18
206,Memphis,AAC,4,15,60.6,67.1,-6.47,3.45,-2.35,-3.21,-5.55,54.69,56.83,-2.14
207,Pepperdine,WCC,5,18,58.8,58.6,0.22,4.04,-5.42,-0.31,-5.73,44.5,48.56,-4.07
208,La Salle,A-10,11,15,64.6,66.5,-1.85,-4.05,-1.46,-4.44,-5.9,63.92,68.41,-4.5
209,Alabama State,SWAC,16,4,73.4,63.6,9.8,-15.77,1.16,-7.13,-5.97,59.62,62.24,-2.62
210,Denver,Summit,7,16,71.8,77.9,-6.04,0.05,5.97,-11.96,-5.99,64.55,69.78,-5.22
211,Northeastern,CAA,7,13,62.1,65.0,-2.9,-3.1,-5.39,-0.61,-6.0,66.13,70.22,-4.09
212,Miami (OH),MAC,4,20,65.3,74.6,-9.29,3.16,-1.64,-4.49,-6.13,64.21,69.15,-4.94
213,Western Illinois,Summit,8,16,69.0,76.0,-7.0,0.79,1.87,-8.08,-6.21,58.74,63.4,-4.66
214,Florida International,CUSA,15,13,73.7,65.9,7.79,-3.34,2.51,-9.13,-6.62,54.21,57.34,-3.13
215,Lafayette,Patriot,5,8,60.7,64.0,-3.31,-3.33,-4.21,-2.43,-6.64,71.43,79.49,-8.07
216,Quinnipiac,MAAC,13,8,63.5,58.0,5.48,-12.61,-4.77,-2.36,-7.13,65.36,72.37,-7.02
217,Texas State,Sun Belt,11,11,62.8,60.1,2.64,-9.9,-5.83,-1.43,-7.27,55.48,58.75,-3.27
218,Fairfield,MAAC,11,5,59.1,53.8,5.25,-12.54,-8.73,1.44,-7.29,67.5,73.79,-6.29
219,Southern,SWAC,12,11,60.7,60.9,-0.22,-7.19,-9.17,1.76,-7.41,52.79,57.73,-4.94
220,Southern Methodist,AAC,0,6,55.7,73.5,-17.83,10.42,-5.34,-2.07,-7.41,50.22,53.61,-3.39
221,North Dakota,Summit,2,19,66.5,75.5,-9.0,1.53,0.04,-7.52,-7.48,59.15,65.4,-6.25
222,Utah Valley,WAC,13,7,61.6,56.6,5.0,-8.37,-9.48,1.95,-7.53,49.95,54.01,-4.05
223,UC San Diego,Big West,6,9,61.1,66.7,-5.6,-2.43,-3.18,-4.85,-8.03,51.67,60.97,-9.3
224,Chattanooga,Southern,14,10,63.5,62.3,1.25,-9.36,-6.61,-1.5,-8.11,54.63,60.16,-5.53
225,Duquesne,A-10,5,11,62.4,68.1,-5.69,-2.42,-3.21,-4.9,-8.11,63.31,71.37,-8.06
226,Montana,Big Sky,12,11,65.7,64.9,0.78,-6.24,-4.47,-3.73,-8.19,48.64,54.94,-6.3
227,American,Patriot,7,4,64.1,62.0,2.09,-10.3,-3.1,-5.11,-8.21,71.51,81.89,-10.38
228,St. Bonaventure,A-10,6,15,58.8,64.5,-5.71,-2.56,-6.45,-1.83,-8.28,61.87,71.47,-9.59
229,Alabama A&M,SWAC,10,7,66.0,60.2,5.82,-14.14,-7.14,-1.17,-8.31,56.64,60.86,-4.22
230,High Point,Big South,22,7,72.2,60.4,11.76,-16.8,-1.24,-7.31,-8.55,61.49,65.96,-4.47
231,Eastern Kentucky,OVC,9,15,62.2,71.1,-8.88,0.25,-1.69,-6.94,-8.63,61.03,67.8,-6.78
232,North Florida,A-Sun,14,11,71.7,70.8,0.88,-5.71,0.9,-9.57,-8.66,57.84,63.57,-5.74
233,William & Mary,CAA,6,7,58.8,61.3,-2.46,-6.2,-7.56,-1.1,-8.66,62.45,69.63,-7.18
234,Butler,Big East,3,17,57.2,76.5,-19.3,10.57,-3.52,-5.21,-8.73,64.35,75.41,-11.07
235,New Mexico State,WAC,9,12,63.0,60.7,2.33,-6.91,-7.97,-1.1,-9.06,44.22,50.14,-5.92
