Team,Record,NET_Rank
Siena,14-11,192
UC Santa Barbara,14-10,193
Texas A&M-Corpus Christi,14-8,194
Georgia State,13-13,195
Air Force,12-16,196
Wofford,11-11,197
Nevada,13-15,198
Mercer,13-16,199
Idaho State,10-15,200
Wright State,14-13,201
Fresno State,12-15,202
Georgia Southern,12-16,203
UC Riverside,14-11,204
Campbell,12-11,205
Saint Mary's (CA),11-16,206
Loyola Marymount,8-16,207
Incarnate Word,13-9,208
Northwestern,8-20,209
Tennessee Tech,13-12,210
Abilene Christian,8-14,211
UNC Greensboro,14-10,212
Milwaukee,13-15,213
New Mexico State,10-15,214
San Diego,7-19,215
Southern Illinois,8-18,216
Colgate,15-11,217
Texas State,11-17,218
Grambling,14-8,219
Southern,10-14,220
Long Beach State,10-15,221
Tennessee-Martin,12-14,222
Florida Atlantic,9-17,223
UTEP,8-16,224
Wichita State,8-20,225
Maryland-Eastern Shore,11-12,226
Niagara,15-12,227
UC San Diego,9-16,228
Coastal Carolina,9-20,229
Detroit Mercy,15-14,230
Manhattan,17-8,231
Morehead State,11-13,232
Sacred Heart,16-9,233
Boston University,16-10,234
Howard,11-14,235
St. Thomas,12-14,236
Youngstown State,12-16,237
Western Michigan,11-14,238
Canisius,14-11,239
Binghamton,10-15,240
Northern Kentucky,9-18,241
Oakland,9-15,242
Dayton,9-17,243
Stetson,13-13,244
Cal State Fullerton,9-17,245
Western Illinois,12-11,246
Indiana State,10-15,247
Yale,7-17,248
Bethune-Cookman,12-13,249
Little Rock,10-17,250
Jacksonville,8-17,251
Northern Illinois,12-14,252
Lehigh,14-12,253
Akron,9-17,254
Eastern Illinois,14-16,255
Jacksonville State,8-15,256
Kansas City,10-17,257
Nicholls State,10-14,258
Samford,11-14,259
North Alabama,10-16,260
Denver,6-20,261
Cornell,7-16,262
High Point,16-10,263
Furman,11-14,264
Southern Utah,6-18,265
Alabama A&M,13-13,266
Kennesaw State,8-18,267
Loyola (MD),14-13,268
Ohio,9-17,269
Bryant,12-13,270
Texas A&M-Commerce,9-14,271
New Orleans,10-16,272
Utah Valley,8-17,273
Northwestern State,8-16,274
Coppin State,9-16,275
Le Moyne,14-13,276
North Dakota,7-17,277
Quinnipiac,10-16,278
Bucknell,11-16,279
Weber State,6-21,280
Tarleton State,6-18,281
Massachusetts,4-26,282
St. Bonaventure,4-24,283
North Florida,6-19,284
Cal State Bakersfield,7-18,285
IUPUI,6-21,286
Mount St. Mary's,11-15,287
San Jose State,5-22,288
Miami (OH),8-18,289
Elon,8-18,290
Sam Houston,5-18,291
Bellarmine,6-18,292
American,9-18,293
Texas-Rio Grande Valley,6-19,294
Omaha,4-22,295
Maryland-Baltimore County,8-17,296
Iona,10-15,297
New Hampshire,8-18,298
Tennessee State,7-17,299
Radford,11-17,300
South Alabama,7-21,301
Hofstra,8-16,302
La Salle,7-21,303
Sacramento State,5-22,304
Presbyterian,14-13,305
Army,10-14,306
Valparaiso,5-20,307
South Carolina Upstate,14-14,308
Southeast Missouri State,6-19,309
Northeastern,8-15,310
Central Michigan,5-19,311
Merrimack,11-15,312
Lafayette,10-17,313
North Carolina Central,9-14,314
NJIT,10-17,315
Navy,9-16,316
Seattle,4-22,317
Florida A&M,8-18,318
Charleston Southern,9-18,319
