RPI,Unnamed:_1,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4,Unnamed:_17,Unnamed:_18,Unnamed:_19,Unnamed:_20,Unnamed:_21,Unnamed:_22,Unnamed:_23,Unnamed:_24,Unnamed:_25,Unnamed:_26,Unnamed:_27,Unnamed:_28,Unnamed:_29,Unnamed:_30,Unnamed:_31,Unnamed:_32,Unnamed:_33,Unnamed:_34,Unnamed:_35,Unnamed:_36,Unnamed:_37,Unnamed:_38,Unnamed:_39,Unnamed:_40,Unnamed:_41,Unnamed:_42,Unnamed:_43,Unnamed:_44,Unnamed:_45,Unnamed:_46,Unnamed:_47,Unnamed:_48,Unnamed:_49
92,,Dayton,14-5,92,213,1-1,178,219,5-2,8-0,1-3,1-0,0-4,6-0,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Elon,7-8,93,39,4-2,95,185,4-2,3-5,0-1,2-3,0-4,2-1,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,San Francisco,15-11,94,103,3-2,72,124,6-3,6-6,3-2,0-7,2-1,7-1,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,Oklahoma,12-12,95,34,3-2,123,113,7-6,5-5,0-1,2-8,2-2,3-0,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Buffalo,15-9,96,172,3-2,167,275,6-2,8-6,1-1,1-1,2-5,5-3,7-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Florida State,10-9,97,58,1-0,36,144,8-1,2-6,0-2,2-5,3-3,3-1,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,Bradley,16-12,98,80,3-3,104,41,8-5,5-6,3-1,1-5,3-3,4-3,8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,Alabama State,16-4,99,297,0-0,323,323,9-1,6-2,1-1,0-2,1-0,3-2,12-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,UTEP,17-8,100,200,3-2,206,278,10-2,6-5,1-1,0-2,2-1,5-3,10-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,Towson,12-9,101,96,4-2,67,73,8-2,4-6,0-1,0-3,1-2,5-3,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Nebraska,13-13,102,54,2-1,81,104,8-3,3-8,2-2,2-7,5-1,1-4,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,James Madison,14-10,103,94,4-3,140,174,9-3,4-6,1-1,2-4,2-3,5-2,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
