RPI,Unnamed:_1,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4,Unnamed:_17,Unnamed:_18,Unnamed:_19,Unnamed:_20,Unnamed:_21,Unnamed:_22,Unnamed:_23,Unnamed:_24,Unnamed:_25,Unnamed:_26,Unnamed:_27,Unnamed:_28,Unnamed:_29,Unnamed:_30,Unnamed:_31,Unnamed:_32,Unnamed:_33,Unnamed:_34,Unnamed:_35,Unnamed:_36,Unnamed:_37,Unnamed:_38,Unnamed:_39,Unnamed:_40,Unnamed:_41,Unnamed:_42,Unnamed:_43,Unnamed:_44,Unnamed:_45,Unnamed:_46,Unnamed:_47,Unnamed:_48,Unnamed:_49
303,,Binghamton,5-11,303,292,0-2,305,243,4-7,1-4,0-0,0-2,1-3,0-1,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,Arkansas-Pine Bluff,3-18,304,255,1-5,232,170,1-5,2-13,0-0,0-3,0-3,0-7,3-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,Evansville,5-18,305,245,3-1,234,313,4-8,1-9,0-1,0-2,0-7,1-6,4-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,Non D1,3-9,306,266,0-0,323,323,2-6,1-3,0-0,0-0,0-4,0-2,3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,Bellarmine,5-17,307,305,0-5,304,238,2-8,3-8,0-1,0-1,0-2,0-7,5-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,Virginia,0-5,308,100,0-3,267,125,0-3,0-2,0-0,0-1,0-1,0-2,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,Indiana State,5-15,309,323,3-2,230,304,3-6,2-8,0-1,0-2,0-2,2-5,3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,Jacksonville,2-17,310,219,0-3,244,86,1-6,1-10,0-1,0-2,0-5,0-4,2-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,East Tennessee State,3-16,311,272,1-5,228,161,1-6,1-9,1-1,0-1,0-1,2-9,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,Incarnate Word,5-9,312,341,1-3,289,280,3-3,2-5,0-1,0-0,0-2,0-5,5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,Winthrop,6-18,313,325,1-2,270,306,4-6,2-12,0-0,0-0,0-0,0-10,6-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,Coppin State,2-13,314,241,0-2,311,258,1-6,1-6,0-1,0-2,0-4,0-3,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,Coastal Carolina,1-15,315,151,1-1,155,177,1-7,0-7,0-1,0-3,0-2,0-4,1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,McNeese State,6-15,316,337,0-6,287,190,3-5,3-9,0-1,0-1,0-3,1-1,5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,Delaware State,3-11,317,293,1-2,292,296,2-6,1-5,0-0,0-3,0-2,0-3,3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,Western Carolina,4-18,318,298,1-7,302,263,2-7,2-9,0-2,0-0,0-1,0-12,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,Cal State Fullerton,3-18,319,230,0-3,223,52,2-8,0-9,1-1,0-2,0-2,1-6,2-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,Charleston Southern,5-17,320,318,1-2,290,293,3-8,2-9,0-0,0-0,0-0,0-8,5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,Weber State,2-19,321,187,0-2,233,65,2-6,0-12,0-1,0-1,0-7,0-6,2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,SIU Edwardsville,5-19,322,308,2-2,314,318,3-9,2-10,0-0,0-3,0-3,1-5,4-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,Sacramento State,3-22,323,218,0-3,283,178,2-11,0-10,1-1,0-2,0-2,0-10,3-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,New Orleans,6-15,324,333,3-3,175,213,4-6,2-9,0-0,0-2,0-2,0-3,6-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,Colgate,1-8,325,265,0-0,323,323,0-5,1-3,0-0,0-0,0-4,0-1,1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,Illinois-Chicago,2-16,326,250,1-2,215,267,1-7,1-9,0-0,0-0,0-7,1-3,1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,Hampton,4-11,327,327,0-2,201,30,3-5,1-6,0-0,0-1,0-3,1-1,3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,Detroit Mercy,1-13,328,225,0-4,316,268,0-8,1-5,0-0,0-0,0-5,0-3,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,Texas A&M-Corpus Christi,4-12,329,334,0-5,321,308,2-5,2-7,0-0,0-1,0-0,0-4,4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,North Dakota,2-19,330,253,0-6,286,188,1-7,1-12,0-0,0-2,0-4,0-3,2-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,Purdue Fort Wayne,1-22,331,202,0-2,322,317,1-10,0-12,0-0,0-4,0-2,0-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,Monmouth,2-16,332,279,0-4,276,155,1-8,1-7,0-1,0-1,0-3,1-6,1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,UTSA,1-18,333,215,1-3,319,311,1-8,0-9,0-1,0-2,0-4,0-6,1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,George Mason,3-19,334,281,3-4,255,245,3-9,0-9,0-1,0-1,0-4,0-8,3-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,Louisiana-Monroe,2-20,335,285,1-4,285,277,1-10,1-9,0-1,0-1,0-2,0-10,2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,Kennesaw State,3-12,336,321,1-0,113,291,3-6,0-6,0-0,0-2,0-0,0-2,3-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,South Carolina State,1-9,337,280,1-7,309,287,1-4,0-5,0-0,0-0,0-1,0-4,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,Tennessee State,0-22,338,226,0-2,260,110,0-11,0-11,0-0,0-2,0-3,0-8,0-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,Prairie View,3-13,339,331,1-2,317,312,3-8,0-5,0-0,0-0,0-2,0-4,3-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,Chicago State,0-14,340,275,0-3,318,276,0-7,0-6,0-1,0-2,0-1,0-3,0-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,Utah Tech,0-2,341,309,0-2,308,253,0-1,0-1,0-0,0-0,0-0,0-1,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,Northwestern State,1-19,342,329,0-5,310,257,1-9,0-10,0-0,0-3,0-1,0-2,1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,Loyola (MD),0-13,343,335,0-0,323,323,0-6,0-7,0-0,0-3,0-0,0-4,0-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
