RPI,Team,Record,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4
79,Washington,19-15,44,8-2,102,172,16-5,2-8,1-2,2-11,4-3,7-0,6-1
80,Rice,23-9,178,9-0,43,268,13-2,10-6,0-1,0-3,3-0,8-6,12-0
81,Florida,19-15,71,11-2,46,148,11-5,6-8,2-2,2-10,4-3,5-2,8-0
82,Clemson,19-16,54,9-3,76,112,13-6,4-7,2-3,1-10,3-5,9-1,6-0
83,Kansas State,19-17,48,11-2,49,114,15-4,0-10,4-3,2-12,6-3,4-2,7-0
84,Richmond,21-11,130,10-3,74,180,10-3,6-6,5-2,1-4,2-3,6-3,12-1
85,Southern Methodist,17-13,84,9-3,52,134,13-2,3-10,1-1,0-5,3-3,6-5,8-0
86,Texas Tech,20-15,68,12-1,55,185,15-6,3-8,2-1,3-10,2-4,6-1,9-0
87,Saint Joseph's,20-11,115,10-2,59,145,12-4,7-6,1-1,0-3,2-4,10-4,8-0
88,Wyoming,21-11,153,5-4,125,135,11-3,7-8,3-0,0-4,1-4,7-3,13-0
89,Seton Hall,19-15,77,7-3,109,165,10-6,6-7,3-2,2-9,3-3,7-2,7-1
90,Vermont,24-7,280,7-4,114,184,13-2,10-5,1-0,0-2,1-1,4-1,19-3
91,Fordham,18-13,91,7-5,99,82,11-4,6-7,1-2,0-4,2-5,9-2,7-2
92,UC Irvine,23-7,274,6-3,96,220,9-2,13-3,1-2,1-0,3-2,6-2,13-3
93,Wake Forest,17-17,49,9-2,63,156,12-5,3-9,2-3,3-10,3-5,4-2,7-0
94,Western Kentucky,19-14,101,3-6,210,131,10-4,7-9,2-1,0-6,2-1,6-6,11-1
95,Boston College,16-17,43,10-3,67,99,11-7,3-8,2-2,1-12,3-3,5-2,7-0
96,Missouri State,20-12,117,5-4,111,53,11-4,7-6,2-2,1-6,2-5,6-0,11-1
97,Virginia,15-15,59,11-0,50,282,11-5,4-9,0-1,1-11,1-3,6-1,7-0
98,Auburn,16-15,46,10-2,89,186,14-5,1-8,1-2,1-10,0-4,7-1,8-0
99,Northern Arizona,20-14,125,5-7,138,98,8-3,10-7,2-4,1-3,4-4,5-3,10-4
100,Pennsylvania,16-12,109,7-5,146,191,11-2,5-9,0-1,0-7,4-2,4-3,8-0
101,Northeastern,19-12,132,5-6,101,56,8-4,10-5,1-3,0-1,3-2,3-9,13-0
102,Long Beach State,22-10,192,4-5,134,88,9-4,11-5,2-1,0-3,2-1,8-4,12-2
103,Houston,15-16,60,3-10,240,68,9-5,4-8,2-3,1-4,1-9,7-2,6-1
104,DePaul,16-17,62,7-4,107,117,8-7,5-8,3-2,1-10,1-4,7-3,7-0
105,Drexel,21-10,219,8-3,127,318,12-2,9-7,0-1,0-0,1-5,7-4,13-1
106,Oregon State,13-18,24,8-3,70,70,10-6,1-8,2-4,2-13,2-3,3-2,6-0
107,UTEP,20-12,147,7-2,139,323,11-3,7-7,2-2,1-2,0-4,7-4,12-2
108,California Baptist,22-13,134,4-7,225,110,10-5,7-5,5-3,1-3,1-3,7-3,13-4
109,Tennessee Tech,21-10,250,4-4,120,120,10-2,7-8,4-0,0-2,1-1,6-3,14-4
110,Southeastern Louisiana,19-10,270,3-5,85,45,9-1,8-9,2-0,0-4,0-2,2-1,17-3
111,Towson,21-12,165,6-5,184,197,10-4,8-5,3-3,0-3,1-2,8-4,12-3
112,Georgia Tech,13-17,53,9-2,65,151,8-6,3-9,2-2,2-8,3-8,3-0,5-1
113,Wofford,19-10,251,7-4,97,230,8-2,9-7,2-1,0-2,1-3,6-3,12-2
114,Jackson State,21-10,291,3-7,94,12,10-1,9-8,2-1,0-7,1-1,3-1,17-1
115,Quinnipiac,21-9,236,5-4,168,167,12-3,9-4,0-2,0-2,0-3,6-2,15-2
116,Yale,13-14,83,6-7,126,76,6-6,6-7,1-1,1-4,0-7,5-1,7-2
117,Boston University,24-9,295,5-6,213,250,14-3,10-6,0-0,0-2,0-5,4-2,20-0
118,Norfolk State,25-7,342,11-3,73,236,11-1,8-6,6-0,0-2,0-1,2-2,23-2
119,Holy Cross,23-9,298,7-3,104,241,10-4,13-5,0-0,0-2,2-2,4-2,17-3
120,Texas State,20-10,213,5-3,177,254,10-4,8-5,2-1,0-1,2-3,6-3,12-3
121,San Diego,18-14,104,5-5,156,83,11-6,6-6,1-2,0-5,1-3,8-4,9-2
122,Montana State,19-11,185,6-5,160,176,10-3,8-5,1-3,0-2,2-2,4-4,13-3
123,Colorado State,18-12,161,5-4,183,175,12-2,4-8,2-2,0-3,0-6,6-1,12-2
124,California,13-17,50,9-2,141,303,9-7,3-8,1-2,0-13,1-3,5-1,7-0
125,Old Dominion,21-12,205,7-5,189,280,12-2,7-7,2-3,0-2,1-3,6-5,14-2
126,East Tennessee State,23-10,255,11-3,90,237,8-4,9-3,6-3,0-1,1-2,6-5,16-2
127,Southern Mississippi,19-10,212,5-4,147,164,9-4,8-5,2-1,0-1,2-3,4-5,13-1
128,Hawaii,18-15,108,2-7,162,10,7-9,8-6,3-0,0-3,0-6,6-4,12-2
129,Vanderbilt,12-19,35,9-5,106,108,9-7,3-9,0-3,1-10,2-6,5-2,4-1
130,Saint Louis,17-18,90,4-11,214,71,9-5,4-11,4-2,1-6,4-6,3-3,9-3
131,Chattanooga,18-13,177,6-7,165,177,6-5,9-8,3-0,0-4,1-1,6-5,11-3
132,Little Rock,21-11,232,3-8,272,152,12-3,8-7,1-1,0-2,1-5,4-2,16-2
133,New Mexico,20-13,167,7-5,170,206,13-3,6-8,1-2,0-2,0-8,6-3,14-0
134,Albany (NY),22-12,258,6-8,194,222,11-2,11-7,0-3,0-4,0-3,4-2,18-3
135,La Salle,17-13,162,9-5,108,201,10-3,6-9,1-1,0-3,1-3,6-5,10-2
136,Maine,16-14,116,4-8,110,8,9-5,6-8,1-1,1-6,0-3,3-3,12-2
137,Michigan State,16-14,93,8-3,218,338,11-6,4-5,1-3,1-9,1-3,4-1,10-1
138,Stony Brook,18-13,163,6-5,121,95,11-3,4-9,3-1,0-2,0-5,3-5,15-1
139,Tulane,17-14,112,9-3,129,214,10-6,5-6,2-2,0-5,1-5,6-3,10-1
140,Troy,16-13,159,4-6,123,74,7-4,8-7,1-2,0-5,1-1,7-4,8-3
141,Austin Peay,16-12,170,4-5,122,79,7-4,8-6,1-2,0-3,1-2,5-5,10-2
142,Louisiana Tech,18-13,157,6-3,180,284,9-5,7-6,2-2,0-3,0-5,7-3,11-2
143,Arizona State,8-20,22,7-4,69,51,3-11,4-7,1-2,0-12,3-5,2-3,3-0
144,Brigham Young,15-17,85,4-6,143,41,6-9,6-6,3-2,1-6,0-4,6-5,8-2
145,San Francisco,17-13,129,8-2,79,126,11-6,6-6,0-1,0-4,2-3,8-3,7-3
146,Penn State,14-17,66,9-2,58,106,11-6,0-10,3-1,1-10,3-1,2-5,8-1
147,Kentucky,12-19,47,8-4,191,231,7-10,2-7,3-2,1-11,3-5,1-2,7-1
148,Texas A&M,9-20,16,5-5,154,63,7-8,0-11,2-1,0-11,2-7,4-2,3-0
149,George Washington,17-13,171,7-5,182,269,10-3,5-8,2-2,0-4,1-3,5-5,11-1
150,UC Santa Barbara,19-12,228,5-3,88,140,9-4,8-7,2-1,1-2,0-4,5-4,13-2
151,Davidson,14-16,113,7-7,116,96,6-4,6-9,2-3,0-4,0-5,7-6,7-1
152,Duquesne,18-12,183,9-3,80,155,13-3,4-8,1-1,0-1,1-4,5-6,12-1
153,Georgetown,13-17,82,6-2,130,309,7-6,4-9,2-2,0-9,0-5,5-2,8-1
154,IUPUI,17-13,172,4-5,173,139,10-5,7-8,0-0,0-4,0-3,6-2,11-4
155,Georgia Southern,18-10,262,5-1,91,326,7-4,10-3,1-3,1-0,1-2,4-5,12-3
156,Northern Kentucky,17-14,151,6-3,113,147,12-4,5-9,0-1,0-4,1-2,4-4,12-4
157,Lipscomb,17-12,221,3-6,252,281,7-5,10-6,0-1,0-2,2-4,4-4,11-2
158,Wichita State,18-15,158,10-3,145,317,11-4,4-10,3-1,1-3,1-5,6-6,10-1
159,Temple,11-18,64,5-7,118,28,8-6,3-11,0-1,0-7,1-5,7-4,3-2
160,Fairleigh Dickinson,24-8,341,8-4,137,247,12-3,10-4,2-1,0-2,0-1,3-3,21-2
161,Eastern Washington,17-11,229,5-3,179,292,9-4,7-6,1-1,0-2,3-3,5-3,9-3
162,New Mexico State,16-17,137,3-7,188,97,6-5,7-8,3-4,0-3,2-4,5-6,9-4
163,Akron,15-13,143,7-2,128,294,9-5,5-7,1-1,0-4,0-5,2-4,13-0
164,North Dakota State,17-12,282,5-4,124,218,10-1,6-10,1-1,0-4,0-1,1-3,16-4
165,Youngstown State,17-11,230,4-3,212,324,10-5,7-6,0-0,1-1,0-2,4-7,12-1
166,William & Mary,18-13,211,5-6,239,262,10-5,7-7,1-1,0-0,0-6,4-6,14-1
167,Pittsburgh,10-20,42,7-4,151,141,7-9,2-8,1-3,0-11,1-7,4-2,5-0
168,Tulsa,17-13,188,10-3,178,344,11-4,5-7,1-2,1-4,0-3,5-5,11-1
169,Grand Canyon,19-10,297,6-3,248,350,11-4,7-5,1-1,0-2,1-4,6-1,12-3
170,Marshall,15-14,145,5-4,163,153,7-6,5-6,3-2,1-2,0-3,3-8,11-1
171,Pacific,14-17,114,4-6,199,142,7-7,5-9,2-1,0-4,1-4,6-6,7-3
172,Delaware,16-14,179,7-4,131,174,7-7,8-5,1-2,0-1,2-4,5-4,9-5
173,Niagara,18-13,273,1-7,330,277,8-4,9-7,1-2,0-1,1-1,4-7,13-4
174,George Mason,16-15,146,7-6,200,207,11-4,4-7,1-4,0-2,2-7,6-2,8-4
175,Butler,11-19,74,5-4,181,173,6-9,3-9,2-1,0-10,0-5,4-3,7-1
176,Mercer,11-15,110,3-8,172,30,5-6,6-6,0-3,1-2,1-6,3-5,6-2
177,North Carolina A&T,15-12,260,3-5,190,199,6-4,8-7,1-1,0-3,1-2,4-1,10-6
178,UC Davis,14-14,181,2-6,192,49,5-6,9-5,0-3,0-1,2-4,3-7,9-2
179,Rutgers,12-20,63,6-6,205,128,10-7,1-9,1-4,0-11,1-5,2-4,9-0
180,UTSA,13-19,103,2-7,263,133,8-4,3-12,2-3,1-3,1-7,4-5,7-4
181,Monmouth,17-16,216,4-6,259,328,8-4,5-11,4-1,0-1,0-2,8-7,9-6
182,North Dakota,17-13,277,6-3,119,245,11-1,4-9,2-3,0-1,0-2,3-5,14-5
183,Lamar,17-12,302,3-5,176,129,7-4,8-7,2-1,0-3,1-1,3-1,13-7
184,Montana,12-16,126,2-7,208,59,6-6,6-7,0-3,0-3,2-2,1-7,9-4
185,Siena,19-13,284,6-4,230,329,11-5,6-7,2-1,0-0,0-4,3-6,16-3
186,Lehigh,16-14,252,3-7,232,168,9-5,7-9,0-0,0-1,1-5,2-4,13-4
187,Louisiana,13-15,174,3-6,169,73,6-5,6-7,1-3,0-3,1-2,5-7,7-3
188,Buffalo,12-15,160,5-3,174,308,6-6,6-8,0-1,1-4,0-3,1-4,10-4
189,Texas A&M-Corpus Christi,16-12,300,2-6,224,118,7-4,9-5,0-3,0-1,1-4,1-4,14-3
190,Murray State,14-16,180,6-2,103,248,7-6,6-9,1-1,0-5,1-4,4-3,9-4
191,Northern Illinois,16-17,197,8-3,140,305,9-4,6-9,1-4,2-3,2-3,3-6,9-5
192,Western Michigan,11-17,124,4-6,193,190,7-5,4-12,0-0,0-8,0-3,0-3,11-3
193,Southern,16-15,296,1-8,204,38,8-2,5-12,3-1,0-4,0-2,1-4,15-5
194,Illinois-Chicago,19-17,240,8-3,155,312,9-5,6-8,4-4,0-4,1-5,4-4,14-4
195,Wisconsin,11-20,87,5-7,251,244,7-7,4-8,0-5,0-10,1-5,3-3,7-2
196,TCU,8-23,34,6-5,206,161,7-11,0-11,1-1,1-13,0-7,3-2,4-1
197,Eastern Illinois,20-8,355,7-3,289,360,11-3,9-4,0-1,0-0,1-1,2-4,17-3
198,Saint Mary's (CA),13-18,140,6-5,144,130,5-10,7-7,1-1,0-4,1-4,4-7,8-3
199,Minnesota,11-19,81,7-4,197,249,9-8,1-10,1-1,0-7,3-3,2-7,6-2
200,Providence,13-19,120,9-2,148,342,8-9,5-9,0-1,1-8,1-5,2-5,9-1
201,Central Florida,14-15,166,9-3,195,337,11-5,2-9,1-1,0-6,0-4,3-4,11-1
202,Hampton,11-18,136,2-7,211,81,5-7,5-10,1-1,0-2,0-6,3-7,8-3
203,Oral Roberts,11-19,121,2-8,171,17,6-6,4-12,1-1,0-6,1-2,0-5,10-6
204,Jacksonville State,14-14,248,5-4,92,91,7-5,5-8,2-1,0-3,1-2,0-5,13-4
205,Utah Tech,17-12,330,6-3,215,355,7-4,8-6,2-2,0-2,0-5,3-1,14-4
206,Fairfield,15-15,271,4-5,209,265,8-5,7-9,0-1,0-0,1-4,3-6,11-5
207,Northwestern,9-21,73,7-4,150,163,7-10,2-10,0-1,0-12,0-3,3-5,6-1
208,UT Arlington,13-17,176,5-6,166,111,7-6,6-7,0-4,0-5,2-3,2-2,9-7
209,Santa Clara,13-17,169,7-4,149,215,6-8,5-8,2-1,1-3,2-3,1-7,9-4
210,Brown,10-15,154,6-5,201,283,5-7,5-8,0-0,0-5,0-4,1-4,9-2
211,Samford,10-17,148,3-9,235,137,5-5,5-10,0-2,0-2,2-4,2-9,6-2
212,Eastern Michigan,14-15,198,7-3,226,341,8-7,5-6,1-2,0-5,0-3,2-3,12-4
213,North Alabama,12-15,210,2-6,267,149,7-5,5-10,0-0,0-3,0-3,1-8,11-1
214,Idaho,13-17,222,4-7,243,306,7-3,5-11,1-3,0-2,0-6,3-5,10-4
215,Cal State Fullerton,14-16,225,5-4,135,162,9-5,5-10,0-1,0-1,1-3,4-8,9-4
216,Kennesaw State,13-16,253,2-7,275,234,7-4,5-12,1-0,0-4,0-3,3-3,10-6
217,North Texas,10-20,107,2-7,223,101,7-6,3-13,0-1,0-3,1-4,6-7,3-6
218,Florida International,13-19,127,4-4,222,154,9-8,2-9,2-2,0-2,0-5,4-7,9-5
219,Charlotte,12-19,135,4-5,246,258,8-6,2-11,2-2,0-4,0-5,3-7,9-3
220,Coastal Carolina,12-16,199,3-6,271,259,9-3,3-12,0-1,0-3,1-4,3-6,8-3
221,Southern Illinois,12-19,142,3-6,255,181,6-9,5-8,1-2,0-5,0-9,2-4,10-1
222,High Point,15-15,288,0-8,314,93,6-6,7-6,2-3,0-2,0-4,0-5,15-4
223,Bucknell,13-17,217,4-7,185,86,7-7,6-10,0-0,0-2,0-4,3-7,10-4
224,Howard,16-14,319,4-9,253,213,8-4,6-8,2-2,0-1,0-3,2-6,14-4
225,Southeast Missouri State,13-15,269,2-6,238,100,8-3,4-10,1-2,0-4,0-2,0-6,13-3
226,Appalachian State,9-20,102,2-7,228,69,6-6,2-13,1-1,0-3,0-4,5-9,4-4
227,UC San Diego,13-17,209,3-7,247,157,7-6,5-9,1-2,0-0,2-6,2-7,9-4
228,Colgate,15-14,307,5-5,186,229,7-7,8-7,0-0,0-2,2-1,2-2,11-9
229,Manhattan,16-17,263,3-6,298,279,8-6,4-9,4-2,0-0,0-3,2-11,14-3
230,Tennessee-Martin,13-17,245,5-7,175,143,6-5,6-9,1-3,0-2,1-3,0-7,12-5
231,Sam Houston,11-17,218,2-6,220,196,4-6,6-10,1-1,0-2,1-5,1-5,9-5
232,UNC Greensboro,13-14,299,4-7,303,340,6-5,6-8,1-1,0-0,1-4,4-5,8-5
233,Boise State,15-16,257,3-8,320,263,8-7,5-6,2-3,0-2,0-4,2-6,13-4
234,Eastern Kentucky,15-14,324,4-6,260,311,9-3,5-10,1-1,0-3,0-1,1-5,14-5
235,Oakland,12-17,202,4-4,152,171,7-6,4-10,1-1,0-4,0-2,3-5,9-6
236,Portland State,13-16,234,3-5,306,333,8-5,3-10,2-1,0-2,1-3,3-5,9-6
237,Alabama State,15-15,337,2-8,233,138,9-1,5-13,1-1,0-3,0-4,0-2,15-6
238,Sacred Heart,18-14,331,2-9,335,295,10-6,7-7,1-1,0-1,0-0,5-4,13-9
239,Purdue Fort Wayne,13-19,194,2-7,329,261,8-6,5-9,0-4,0-3,0-3,3-7,10-6
240,Marist,12-18,208,4-5,142,84,4-9,6-8,2-1,0-3,1-2,2-5,9-8
241,Cornell,9-17,156,6-6,207,286,5-7,4-10,0-0,0-4,1-4,2-7,6-2
242,Morgan State,14-12,344,4-6,231,239,8-2,6-7,0-3,0-0,1-7,2-1,11-4
243,Florida Atlantic,10-18,152,5-2,95,257,7-6,3-11,0-1,0-4,0-3,1-9,9-2
244,Cincinnati,9-21,131,7-6,198,270,3-10,5-9,1-2,0-5,0-3,4-9,5-4
245,Army,12-17,265,1-8,333,217,5-7,7-10,0-0,0-0,1-3,2-8,9-6
246,UAB,12-17,201,6-1,167,353,7-6,3-9,2-2,0-3,0-4,2-8,10-2
247,Wright State,7-24,98,0-9,257,16,3-8,4-15,0-1,0-7,0-3,2-8,5-6
248,Omaha,13-17,276,3-6,276,304,6-6,5-10,2-1,0-5,0-1,2-3,11-8
249,Texas-Rio Grande Valley,11-18,191,5-5,133,132,7-6,4-11,0-1,0-4,0-4,1-4,10-6
250,Texas A&M-Commerce,13-19,256,1-10,268,61,7-4,4-12,2-3,0-4,0-3,0-7,13-5
251,Miami (OH),11-19,164,4-8,291,242,8-7,3-10,0-2,0-5,1-4,3-3,7-7
252,Maryland-Baltimore County,13-15,323,2-8,343,348,7-4,6-11,0-0,0-0,1-4,1-5,11-6
253,South Dakota,12-16,261,2-7,286,233,5-8,7-5,0-3,0-2,1-3,1-2,10-9
254,Abilene Christian,12-15,292,3-5,241,246,8-3,3-10,1-2,0-1,1-3,2-8,9-3
255,Arkansas State,12-19,233,4-6,245,274,6-7,4-11,2-1,0-3,0-3,3-10,9-3
256,Milwaukee,11-19,196,2-6,319,285,7-7,3-12,1-0,0-4,1-1,1-8,9-6
257,Northern Colorado,11-18,244,5-4,158,267,5-7,5-10,1-1,0-1,0-5,2-7,9-5
258,Idaho State,9-19,204,3-6,219,226,3-7,5-10,1-2,0-2,1-4,2-7,6-6
259,Pepperdine,10-19,173,4-5,261,296,6-7,2-10,2-2,0-4,0-2,3-9,7-4
260,Prairie View,12-15,332,0-8,327,123,7-3,5-11,0-1,0-1,0-4,1-6,11-4
261,Arkansas-Pine Bluff,13-17,311,1-8,262,57,7-4,4-9,2-4,0-1,0-6,0-5,13-5
262,Virginia Commonwealth,7-22,106,3-9,229,87,4-9,1-11,2-2,0-3,2-6,2-8,3-5
263,Mount St. Mary's,11-19,227,3-5,237,189,7-6,3-11,1-2,0-2,0-4,1-7,10-6
264,College of Charleston,9-18,207,3-5,221,212,5-7,4-10,0-1,0-1,1-2,1-10,7-5
265,St. Thomas,13-17,317,5-5,258,343,7-6,5-10,1-1,0-4,0-1,1-4,12-8
266,Jacksonville,9-17,195,4-4,117,113,7-5,2-11,0-1,0-6,0-2,1-3,8-6
267,Evansville,11-19,249,5-4,196,290,6-8,5-10,0-1,0-5,0-4,1-5,10-5
268,Xavier,7-23,99,7-2,202,336,5-12,2-10,0-1,0-8,0-6,1-6,6-3
269,Stetson,11-20,214,4-7,269,252,6-8,3-10,2-2,0-5,0-1,2-6,9-8
270,Dayton,6-21,118,0-10,326,119,2-10,3-8,1-3,0-3,0-4,3-11,3-3
271,Hofstra,11-20,237,5-5,216,321,6-7,3-12,2-1,0-1,0-3,3-9,8-7
272,Air Force,11-18,275,3-7,256,188,7-5,4-9,0-4,0-3,0-5,2-6,9-4
273,Merrimack,14-16,333,3-9,304,260,8-7,6-9,0-0,0-2,0-3,1-5,13-6
274,NJIT,13-16,339,5-7,283,339,6-7,7-9,0-0,0-0,0-3,1-6,12-7
275,Cal Poly,9-18,203,2-5,161,18,6-8,3-9,0-1,0-3,0-3,1-8,8-4
