,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
334,335,Valparaiso,18,5,13,0.278,-7.2,-0.25,1.0,6.0,4,6,1,7,1206,1285,68.9,103.5,0.306,0.35,0.53,52.7,54.1,10.5,7.1,0.504,16.3,32.6,0.206
335,336,Vanderbilt,17,5,12,0.294,-0.51,3.73,0.0,4.0,5,6,0,3,1155,1227,68.1,106.1,0.307,0.372,0.548,50.4,50.3,9.2,9.6,0.509,14.3,26.1,0.238
336,337,Vermont,19,14,5,0.737,1.69,-2.84,4.0,0.0,8,1,4,3,1398,1221,64.7,99.3,0.243,0.353,0.501,49.2,42.3,7.6,7.6,0.474,12.4,24.8,0.169
337,338,Villanova,17,11,6,0.647,15.07,7.18,4.0,2.0,6,2,2,3,1262,1128,65.7,98.8,0.267,0.404,0.516,47.3,54.3,8.9,13.6,0.488,15.0,23.8,0.187
338,339,Virginia,17,12,5,0.706,10.33,3.15,3.0,3.0,10,0,0,4,1104,982,62.4,92.6,0.246,0.412,0.491,51.8,54.4,8.7,6.5,0.459,19.0,28.9,0.176
339,340,Virginia Commonwealth,17,10,7,0.588,7.78,2.25,2.0,2.0,7,5,2,0,1244,1150,67.0,100.2,0.366,0.343,0.502,47.3,42.9,11.4,6.1,0.456,13.7,28.2,0.265
340,341,VMI,18,3,15,0.167,-21.1,-3.17,0.0,5.0,3,4,0,9,1270,1451,74.0,108.2,0.296,0.409,0.538,48.8,49.3,12.5,7.5,0.518,12.9,28.4,0.191
341,342,Virginia Tech,17,10,7,0.588,11.43,5.84,2.0,4.0,8,1,0,4,1243,1148,68.0,99.2,0.292,0.356,0.521,47.1,48.4,9.6,9.0,0.49,15.6,24.4,0.207
342,343,Wagner,15,8,7,0.533,-11.59,-7.82,2.0,1.0,5,1,3,6,967,932,63.9,96.4,0.281,0.405,0.505,51.0,61.7,7.0,9.6,0.48,17.1,29.1,0.186
343,344,Wake Forest,17,12,5,0.706,14.22,3.75,4.0,2.0,10,0,1,3,1370,1192,69.9,98.8,0.301,0.312,0.514,48.8,40.0,8.5,9.7,0.476,15.4,27.8,0.223
344,345,Washington,18,11,7,0.611,12.42,7.14,3.0,4.0,8,2,2,3,1445,1350,71.8,102.3,0.351,0.348,0.519,48.6,50.3,8.6,8.1,0.489,14.3,29.6,0.232
345,346,Washington State,18,13,5,0.722,12.97,3.97,4.0,3.0,9,1,2,2,1359,1197,68.0,97.8,0.344,0.329,0.504,45.8,45.6,7.8,6.7,0.455,14.4,24.7,0.262
346,347,Weber State,18,11,7,0.611,3.51,-1.22,2.0,3.0,7,1,3,4,1366,1148,66.6,95.1,0.235,0.359,0.518,48.6,50.9,7.8,9.5,0.497,17.0,22.1,0.158
347,348,West Virginia,17,6,11,0.353,3.36,7.77,1.0,3.0,6,5,0,2,1149,1224,68.0,105.2,0.256,0.395,0.524,51.1,50.2,10.1,10.6,0.495,13.6,30.3,0.184
348,349,Western Carolina,18,15,3,0.833,1.68,-3.19,4.0,1.0,7,1,8,2,1368,1188,69.0,95.7,0.306,0.284,0.474,45.8,34.9,7.7,7.1,0.439,12.1,24.8,0.207
349,350,Western Illinois,18,12,6,0.667,-7.27,-4.12,5.0,0.0,7,1,5,5,1285,1184,68.0,95.4,0.247,0.324,0.476,42.8,45.3,11.2,7.6,0.448,13.1,25.7,0.168
350,351,Western Kentucky,18,13,5,0.722,-0.77,-2.83,2.0,2.0,8,0,4,3,1419,1318,76.7,95.4,0.312,0.387,0.501,47.9,50.1,9.3,9.3,0.466,16.8,26.9,0.218
351,352,Western Michigan,17,7,10,0.412,-6.84,-1.34,4.0,1.0,3,4,2,6,1264,1296,68.7,109.4,0.301,0.401,0.55,48.0,54.3,9.3,6.9,0.524,14.0,30.1,0.21
352,353,Wichita State,17,8,9,0.471,2.33,4.7,0.0,4.0,6,2,1,4,1265,1273,71.6,104.6,0.239,0.427,0.518,46.8,54.0,11.6,9.3,0.489,12.3,27.3,0.176
353,354,William & Mary,18,7,11,0.389,-11.7,-6.07,2.0,3.0,6,3,1,6,1324,1310,67.6,106.9,0.324,0.38,0.546,49.6,45.6,8.3,11.0,0.51,13.2,25.5,0.24
354,355,Winthrop,20,13,7,0.65,0.09,-2.2,4.0,1.0,9,2,4,5,1584,1399,68.5,99.0,0.305,0.433,0.515,47.9,51.3,10.1,13.3,0.476,16.6,30.2,0.227
355,356,Wisconsin,17,13,4,0.765,18.33,9.33,5.0,1.0,9,1,2,3,1286,1133,66.1,100.9,0.307,0.372,0.544,45.5,44.0,6.9,10.1,0.518,16.1,21.9,0.211
356,357,Wofford,18,11,7,0.611,-3.62,-1.49,4.0,1.0,7,0,4,4,1415,1359,69.6,106.3,0.326,0.388,0.543,46.3,48.0,9.5,9.0,0.507,11.8,22.0,0.24
357,358,Wright State,19,9,10,0.474,-0.38,-1.32,4.0,4.0,5,3,2,6,1610,1528,72.4,111.1,0.294,0.402,0.57,48.4,49.4,9.2,6.3,0.546,14.2,27.2,0.207
358,359,Wyoming,17,9,8,0.529,-2.61,2.92,2.0,2.0,6,1,0,6,1235,1249,69.7,105.4,0.254,0.377,0.54,49.0,45.6,13.0,10.8,0.507,15.9,31.0,0.197
359,360,Xavier,17,9,8,0.529,15.92,9.86,3.0,3.0,7,4,1,3,1289,1186,71.1,98.2,0.295,0.348,0.487,47.4,60.6,9.3,11.1,0.455,14.0,29.9,0.2
360,361,Yale,17,11,6,0.647,2.47,0.27,2.0,0.0,4,1,5,4,1296,1155,67.3,98.7,0.259,0.392,0.512,46.6,55.8,8.1,8.2,0.479,14.6,24.7,0.192
361,362,Youngstown State,19,13,6,0.684,0.2,-2.0,5.0,3.0,10,1,3,5,1533,1341,71.5,98.7,0.266,0.369,0.508,46.0,56.4,7.9,7.8,0.48,14.5,25.9,0.185
