,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
17,18,Austin Peay,19,9,10,0.474,-5.74,-0.99,2.0,2.0,6,1,2,8,1312,1289,66.3,103.6,0.266,0.367,0.51,48.6,44.4,11.5,10.5,0.486,12.0,28.3,0.177
18,19,Ball State,17,9,8,0.529,-6.45,-4.58,1.0,4.0,7,2,2,5,1258,1184,67.3,110.0,0.388,0.379,0.572,52.0,46.5,8.0,8.3,0.53,15.7,29.3,0.294
19,20,Baylor,17,14,3,0.824,20.86,5.55,3.0,1.0,10,0,1,1,1441,1170,68.8,121.4,0.355,0.361,0.596,54.9,51.9,9.9,10.1,0.569,13.8,37.7,0.255
20,21,Bellarmine,19,4,15,0.211,-10.75,2.13,0.0,4.0,3,4,1,11,1275,1387,66.8,100.4,0.224,0.391,0.522,46.4,55.6,8.2,6.4,0.488,13.9,23.0,0.178
21,22,Belmont,18,11,7,0.611,0.62,2.44,4.0,3.0,7,1,3,5,1407,1404,73.0,106.4,0.317,0.391,0.58,48.3,52.4,11.0,7.4,0.555,16.6,22.4,0.225
22,23,Bethune-Cookman,16,7,9,0.438,-13.99,-5.06,2.0,1.0,6,1,1,6,1192,1209,74.7,98.9,0.341,0.318,0.516,49.7,48.9,15.7,8.7,0.477,17.5,32.8,0.247
23,24,Binghamton,16,8,8,0.5,-11.24,-4.45,0.0,3.0,6,1,2,7,1191,1176,70.6,105.5,0.357,0.311,0.536,53.2,53.8,7.1,12.0,0.511,14.9,31.0,0.234
24,25,Boise State,17,12,5,0.706,12.55,7.22,3.0,1.0,8,1,2,1,1257,1104,68.1,108.6,0.361,0.376,0.551,55.4,48.5,8.9,6.2,0.516,15.2,32.6,0.259
25,26,Boston College,17,11,6,0.647,8.56,3.38,2.0,4.0,7,2,3,2,1326,1238,69.5,111.4,0.272,0.358,0.559,49.8,49.3,9.3,10.9,0.529,12.3,26.8,0.205
26,27,Boston University,18,7,11,0.389,-10.13,-6.25,2.0,3.0,4,4,3,7,1157,1182,67.3,95.5,0.299,0.417,0.494,51.5,53.2,10.3,7.4,0.467,15.6,26.3,0.194
27,28,Bowling Green State,17,13,4,0.765,-2.63,-5.63,4.0,1.0,8,1,3,2,1291,1177,71.0,106.2,0.38,0.388,0.538,52.0,42.9,9.0,7.0,0.508,13.9,28.3,0.253
28,29,Bradley,18,13,5,0.722,9.35,2.0,5.0,2.0,7,2,4,2,1339,1192,67.4,109.0,0.298,0.411,0.564,51.1,50.4,11.4,10.8,0.543,16.1,30.4,0.203
29,30,Brigham Young,17,14,3,0.824,25.41,3.35,2.0,2.0,10,1,1,2,1457,1082,70.7,121.3,0.22,0.51,0.59,56.8,67.0,9.7,7.7,0.572,12.9,35.0,0.161
30,31,Brown,17,5,12,0.294,-7.23,-2.48,1.0,1.0,2,4,2,6,1186,1221,69.0,99.6,0.349,0.391,0.506,52.1,49.8,9.2,12.7,0.479,16.0,32.0,0.222
31,32,Bryant,18,11,7,0.611,-2.46,-1.52,3.0,0.0,5,1,5,6,1440,1360,76.4,103.3,0.287,0.419,0.548,45.6,52.7,9.5,14.4,0.528,13.9,19.4,0.189
32,33,Bucknell,18,6,12,0.333,-8.41,-2.08,3.0,2.0,2,6,4,6,1170,1284,65.3,99.6,0.294,0.438,0.542,48.4,52.9,9.3,9.7,0.505,17.9,24.6,0.225
33,34,Buffalo,17,2,15,0.118,-12.84,-0.28,1.0,4.0,1,7,1,6,1150,1345,70.7,95.8,0.297,0.416,0.504,51.3,49.5,8.8,10.8,0.47,19.1,32.7,0.211
34,35,Butler,18,11,7,0.611,12.99,7.17,2.0,5.0,8,2,1,4,1444,1319,70.0,111.6,0.288,0.367,0.56,49.9,53.2,9.1,9.5,0.523,13.0,29.4,0.226
35,36,Cal Poly,18,4,14,0.222,-12.79,-1.49,0.0,6.0,3,5,0,8,1151,1325,66.4,94.3,0.327,0.314,0.494,45.0,41.3,8.6,10.7,0.454,16.3,25.2,0.233
36,37,Cal State Bakersfield,17,6,11,0.353,-6.55,-0.48,1.0,5.0,5,2,0,8,1187,1197,66.7,103.2,0.3,0.245,0.504,50.3,40.3,10.2,10.8,0.472,14.4,35.1,0.207
37,38,Cal State Fullerton,18,8,10,0.444,-5.9,1.23,1.0,5.0,4,3,3,6,1210,1244,67.7,98.6,0.397,0.349,0.523,48.2,39.3,10.0,7.8,0.479,17.0,26.8,0.285
38,39,Cal State Northridge,18,13,5,0.722,-3.06,-6.25,4.0,2.0,7,2,6,3,1425,1305,75.4,105.0,0.379,0.254,0.539,56.3,47.8,11.6,10.4,0.507,16.7,35.5,0.259
39,40,California,18,6,12,0.333,4.67,6.01,2.0,5.0,5,5,1,3,1356,1380,69.4,106.4,0.309,0.427,0.538,52.0,46.2,8.2,7.5,0.506,14.7,31.0,0.221
40,41,California Baptist,17,10,7,0.588,-0.6,-3.93,3.0,3.0,8,3,2,4,1158,1081,66.8,101.9,0.398,0.365,0.505,54.4,44.7,7.2,6.8,0.468,15.2,34.4,0.263
41,42,Campbell,18,9,9,0.5,-9.7,-6.7,3.0,2.0,7,3,2,6,1240,1176,66.0,103.8,0.378,0.379,0.559,49.3,52.2,10.0,7.8,0.521,16.2,24.5,0.276
42,43,Canisius,16,7,9,0.438,-4.05,-2.11,2.0,4.0,4,2,1,6,1199,1188,70.9,104.9,0.309,0.376,0.531,50.7,48.6,8.8,7.3,0.509,15.7,33.2,0.199
43,44,Central Arkansas,20,7,13,0.35,-14.21,-3.98,3.0,1.0,4,5,3,8,1452,1527,70.9,102.5,0.292,0.398,0.521,49.1,54.6,10.4,10.0,0.486,15.8,29.9,0.214
44,45,Central Connecticut State,16,9,7,0.563,-6.48,-6.33,3.0,0.0,4,2,5,5,1179,1063,70.0,105.3,0.287,0.333,0.539,50.0,54.9,12.0,13.7,0.51,14.4,28.2,0.205
