Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
117,Idaho,22,8,14,0.364,-10.18,-3.03,2.0,7.0,5,7,2,7,1532,1585,66.6,107.5,0.358,0.395,0.56,51.4,54.1,9.1,10.4,0.526,15.0,26.6,0.258
118,Idaho State,23,9,14,0.391,-8.16,-3.5,4.0,6.0,5,3,4,10,1605,1613,64.9,106.3,0.324,0.3,0.563,48.4,47.5,9.6,7.1,0.529,16.0,26.0,0.24
119,Illinois,21,16,5,0.762,20.1,6.72,7.0,3.0,11,2,3,3,1729,1448,70.4,97.3,0.233,0.278,0.48,43.8,40.8,8.1,8.3,0.453,11.5,26.2,0.16
120,Illinois State,23,11,12,0.478,-2.87,0.09,5.0,7.0,7,5,3,5,1514,1560,66.1,102.6,0.291,0.374,0.543,48.6,53.0,7.8,10.0,0.511,15.6,24.2,0.214
121,Illinois-Chicago,23,8,15,0.348,-1.2,0.34,1.0,11.0,4,7,2,7,1598,1581,68.7,100.1,0.362,0.341,0.514,51.2,47.3,9.7,10.5,0.466,15.1,27.9,0.272
122,Incarnate Word,21,7,14,0.333,-14.11,-6.37,2.0,6.0,4,4,3,9,1543,1640,72.2,107.5,0.387,0.341,0.546,50.4,51.8,11.0,12.3,0.506,13.9,30.7,0.282
123,Indiana,22,13,9,0.591,7.3,8.12,5.0,6.0,11,3,1,4,1616,1634,69.6,106.7,0.314,0.411,0.527,50.0,52.6,10.7,8.4,0.49,13.2,30.3,0.231
124,Indiana State,23,20,3,0.87,14.16,1.89,11.0,1.0,10,0,6,3,1966,1666,71.6,100.6,0.256,0.34,0.523,47.6,41.3,8.8,12.0,0.494,14.7,24.3,0.186
125,Iona,20,10,10,0.5,-1.71,-4.06,5.0,4.0,6,3,3,4,1465,1418,68.7,103.1,0.407,0.423,0.561,51.9,54.6,8.0,10.2,0.522,19.8,31.6,0.295
126,Iowa,22,13,9,0.591,14.2,7.25,5.0,6.0,9,3,2,5,1852,1699,73.5,105.1,0.303,0.36,0.537,50.6,51.6,8.2,9.6,0.508,15.3,30.8,0.214
