Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
104,Duquesne,A-10,,15,10,71.4,67.5,3.88,4.14,0.29,5.89,6.18,106.34,97.66,8.68
105,Saint Joseph's,A-10,,16,10,76.7,71.1,5.58,0.41,4.42,1.57,5.99,109.77,101.0,8.77
106,Santa Clara,WCC,,17,10,77.0,71.7,5.33,1.61,4.41,1.32,5.73,110.08,102.11,7.97
107,Southern Illinois,MVC,,17,10,72.9,67.0,5.89,0.55,-0.15,5.62,5.48,110.17,101.88,8.29
108,Arizona State,Pac-12,,13,13,69.6,73.4,-3.77,9.17,0.59,4.8,5.4,103.77,96.55,7.22
109,Arkansas,SEC,,12,13,75.1,78.1,-3.0,8.18,5.09,0.09,5.18,107.67,100.82,6.85
110,Akron,MAC,,19,6,75.1,64.5,10.56,-1.93,-1.5,6.66,5.16,107.03,99.45,7.58
111,UAB,AAC,,17,8,76.8,74.5,2.28,4.18,5.25,-0.2,5.05,109.92,102.77,7.14
112,Davidson,A-10,,14,11,71.4,67.1,4.32,2.87,-0.81,5.85,5.04,107.13,99.64,7.49
113,Yale,Ivy,,17,7,75.5,66.9,8.58,0.38,0.77,4.06,4.83,108.35,101.09,7.26
114,Tulane,AAC,,13,12,83.8,80.1,3.72,2.16,11.66,-6.87,4.79,112.0,105.66,6.34
115,UC San Diego,Big West,,17,9,76.7,67.8,8.88,-1.55,0.99,3.33,4.33,110.14,103.91,6.23
116,Liberty,CUSA,,16,10,75.3,64.7,10.62,-0.36,0.75,3.28,4.04,110.85,104.18,6.67
117,Cornell,Ivy,,19,4,83.6,74.3,9.3,-2.5,9.03,-5.0,4.03,112.34,107.02,5.31
118,Georgia Tech,ACC,,11,15,70.9,75.0,-4.08,8.01,2.34,1.6,3.93,107.27,101.67,5.61
119,Missouri,SEC,,8,17,72.2,74.5,-2.32,6.18,1.65,2.21,3.86,108.36,103.0,5.36
120,West Virginia,Big 12,,8,17,68.4,74.8,-6.4,10.25,2.01,1.84,3.85,107.01,101.32,5.69
121,Northern Iowa,MVC,,15,12,72.7,70.7,2.07,3.18,0.69,3.11,3.8,108.39,102.95,5.44
122,Seattle,WAC,,16,10,74.4,67.9,6.5,-0.85,0.76,2.95,3.71,104.99,99.35,5.64
123,Notre Dame,ACC,,9,16,61.9,65.3,-3.44,7.03,-6.26,9.86,3.59,100.64,95.76,4.88
124,Oregon State,Pac-12,,11,15,68.0,71.9,-3.85,8.21,-1.34,4.11,2.77,105.13,102.12,3.01
125,UNC Wilmington,CAA,,19,7,80.4,70.5,9.92,-2.36,2.06,0.54,2.6,111.24,106.81,4.43
