Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
63,Cornell,20,17,3,0.85,4.14,-2.36,6.0,0.0,7,0,8,3,1680,1486,72.9,115.3,0.284,0.475,0.603,51.3,59.4,12.4,5.9,0.582,15.6,29.9,0.205
64,Creighton,22,16,6,0.727,19.16,7.25,7.0,4.0,10,2,5,3,1772,1510,67.9,116.0,0.262,0.484,0.596,53.8,56.3,5.1,7.8,0.569,13.6,26.8,0.201
65,Dartmouth,19,5,14,0.263,-14.45,-1.75,1.0,5.0,5,5,0,9,1144,1313,66.3,90.9,0.283,0.445,0.491,48.9,54.4,6.7,9.9,0.458,16.8,21.8,0.199
66,Davidson,20,12,8,0.6,4.08,1.96,2.0,5.0,7,4,3,3,1444,1348,66.2,107.7,0.346,0.434,0.544,50.7,51.3,9.6,7.7,0.51,13.6,27.3,0.248
67,Dayton,21,18,3,0.857,14.94,5.13,8.0,1.0,11,0,4,2,1556,1350,64.0,115.8,0.373,0.452,0.593,50.5,59.4,8.5,11.8,0.56,13.6,28.2,0.276
68,Delaware,23,14,9,0.609,0.66,-3.43,6.0,4.0,6,3,6,4,1746,1623,68.5,110.3,0.301,0.353,0.561,50.5,53.3,8.7,7.9,0.535,13.4,27.3,0.214
69,Delaware State,22,10,12,0.455,-11.17,-6.17,3.0,3.0,5,4,3,7,1556,1576,71.1,96.8,0.362,0.243,0.506,53.2,48.0,11.2,5.5,0.466,17.9,33.5,0.255
70,Denver,24,13,11,0.542,-4.28,-3.83,4.0,5.0,8,2,4,8,2028,1942,72.1,114.8,0.399,0.378,0.566,50.3,48.0,8.4,9.7,0.524,12.0,30.3,0.298
71,DePaul,22,3,19,0.136,-5.81,9.23,0.0,11.0,3,11,0,6,1415,1746,68.5,94.0,0.341,0.341,0.518,45.0,55.4,7.6,9.7,0.479,17.9,21.4,0.247
72,Detroit Mercy,24,0,24,0.0,-18.29,-1.58,0.0,13.0,0,9,0,15,1527,1928,67.9,92.7,0.294,0.368,0.487,44.2,43.8,9.7,6.1,0.448,17.0,26.7,0.214
73,Drake,23,18,5,0.783,11.17,0.21,9.0,3.0,12,0,3,4,1820,1559,68.5,113.7,0.312,0.405,0.578,51.9,56.2,9.4,5.4,0.549,12.3,25.0,0.23
74,Drexel,23,15,8,0.652,2.68,-4.0,8.0,2.0,9,1,5,7,1682,1467,65.7,110.7,0.304,0.327,0.542,56.6,47.3,8.1,11.5,0.511,14.1,36.1,0.218
75,Duke,21,16,5,0.762,18.82,6.11,7.0,3.0,10,2,4,3,1704,1437,69.0,117.6,0.355,0.362,0.585,53.0,54.4,9.6,10.8,0.553,12.0,28.7,0.261
76,Duquesne,21,13,8,0.619,6.43,3.33,3.0,5.0,9,3,2,4,1525,1415,68.6,105.9,0.352,0.41,0.532,50.6,52.3,11.0,12.2,0.498,14.9,32.2,0.246
77,East Carolina,23,11,12,0.478,-0.32,0.27,4.0,6.0,9,7,2,4,1583,1566,65.9,103.9,0.361,0.365,0.507,50.2,45.3,12.1,8.4,0.468,13.6,33.6,0.252
78,East Tennessee State,23,12,11,0.522,-4.76,-2.28,4.0,6.0,7,3,4,8,1621,1594,69.1,101.9,0.323,0.422,0.5,51.4,47.5,10.2,13.1,0.463,14.8,33.8,0.228
79,Eastern Illinois,23,10,13,0.435,-11.78,-3.83,4.0,6.0,6,6,3,7,1572,1548,67.9,100.7,0.245,0.295,0.499,50.3,52.8,12.0,8.0,0.468,13.3,29.5,0.179
80,Eastern Kentucky,22,12,10,0.545,-4.49,-2.12,8.0,1.0,9,3,3,7,1793,1679,73.2,110.6,0.306,0.355,0.539,52.7,51.1,9.6,15.2,0.513,13.6,35.2,0.208
81,Eastern Michigan,22,9,13,0.409,-13.96,-3.91,2.0,8.0,7,4,2,8,1458,1641,66.9,97.9,0.282,0.315,0.507,48.1,41.3,8.2,6.3,0.48,15.5,27.2,0.191
82,Eastern Washington,22,14,8,0.636,1.12,-0.08,8.0,1.0,7,0,7,8,1724,1580,70.7,110.9,0.354,0.429,0.602,51.6,62.5,8.3,10.5,0.571,17.1,26.3,0.264
83,Elon,23,10,13,0.435,-10.87,-5.68,3.0,7.0,6,4,2,9,1751,1755,68.7,110.8,0.316,0.403,0.562,49.7,50.4,9.0,8.1,0.532,14.8,31.3,0.229
84,Evansville,23,14,9,0.609,-2.97,-0.38,5.0,7.0,9,2,4,7,1681,1668,70.8,102.1,0.294,0.331,0.54,49.7,50.6,9.1,10.2,0.512,15.1,23.5,0.206
85,Fairfield,21,12,9,0.571,-3.79,-5.94,6.0,4.0,5,3,7,5,1601,1511,70.3,108.5,0.273,0.414,0.556,48.7,53.6,11.4,6.1,0.522,14.7,29.1,0.212
86,FDU,23,11,12,0.478,-14.11,-8.06,5.0,3.0,6,5,5,6,1797,1822,74.3,104.5,0.335,0.415,0.532,48.4,56.9,11.5,6.4,0.498,14.7,28.7,0.237
87,Florida,22,15,7,0.682,14.54,6.63,5.0,4.0,9,1,2,4,1868,1694,72.7,114.3,0.369,0.353,0.546,55.7,51.6,9.0,11.8,0.515,14.1,40.0,0.254
88,Florida A&M,19,4,15,0.211,-16.09,-0.21,2.0,6.0,2,5,2,9,1313,1560,70.4,97.0,0.253,0.3,0.518,49.3,58.2,8.0,6.7,0.492,18.0,28.6,0.176
89,Florida Atlantic,22,18,4,0.818,15.91,4.13,8.0,1.0,9,1,3,2,1835,1576,69.2,118.6,0.337,0.396,0.587,53.2,50.9,10.6,7.2,0.561,13.7,34.2,0.239
90,Florida Gulf Coast,24,10,14,0.417,-6.39,-2.25,4.0,5.0,7,3,2,8,1690,1732,65.6,106.8,0.288,0.393,0.544,51.9,45.1,8.5,9.6,0.522,15.3,31.8,0.193
91,Florida International,23,8,15,0.348,-8.0,-1.41,3.0,5.0,7,4,1,8,1722,1776,72.8,102.3,0.281,0.414,0.533,45.9,55.4,15.1,10.0,0.509,17.0,29.3,0.189
92,Florida State,21,12,9,0.571,10.29,7.67,6.0,4.0,7,5,3,3,1623,1568,73.4,104.6,0.374,0.318,0.531,48.6,45.8,12.6,11.6,0.497,14.5,29.1,0.257
93,Fordham,22,10,12,0.455,-0.59,-0.63,4.0,5.0,4,8,4,2,1619,1618,71.2,101.1,0.379,0.41,0.509,50.7,53.0,11.8,12.3,0.477,15.4,32.4,0.247
94,Fresno State,22,9,13,0.409,-1.86,2.57,2.0,7.0,7,5,1,6,1528,1610,66.7,103.0,0.31,0.368,0.561,49.2,51.2,9.4,7.4,0.54,18.1,25.8,0.207
95,Furman,22,12,10,0.545,0.41,-2.17,6.0,3.0,9,1,3,7,1783,1681,73.1,109.0,0.314,0.469,0.552,51.8,60.0,10.5,7.1,0.522,14.9,30.9,0.224
96,Gardner-Webb,23,11,12,0.478,-3.0,0.25,6.0,2.0,8,2,2,7,1709,1674,71.0,103.6,0.341,0.361,0.522,51.1,47.0,8.5,5.9,0.496,13.7,28.2,0.221
97,George Mason,22,15,7,0.682,6.74,1.12,4.0,5.0,11,1,3,5,1616,1474,66.3,110.8,0.366,0.368,0.565,53.0,46.5,8.4,9.9,0.527,14.8,31.3,0.274
98,George Washington,21,14,7,0.667,1.19,-1.76,3.0,5.0,11,2,1,4,1678,1604,72.4,106.0,0.363,0.398,0.559,50.6,46.2,8.3,12.9,0.519,16.0,26.8,0.272
99,Georgetown,21,8,13,0.381,0.98,4.79,1.0,9.0,7,7,1,6,1513,1593,67.9,104.9,0.367,0.414,0.531,50.2,51.5,8.7,9.4,0.491,16.1,33.9,0.266
100,Georgia,22,14,8,0.636,9.78,6.88,4.0,5.0,11,3,3,2,1684,1620,71.1,107.1,0.402,0.396,0.544,49.0,48.8,9.3,9.3,0.502,14.1,28.1,0.292
101,Georgia Southern,23,5,18,0.217,-10.89,-2.2,5.0,6.0,3,4,2,11,1626,1826,69.7,100.9,0.286,0.462,0.532,46.0,43.6,9.9,10.5,0.503,16.9,27.8,0.203
102,Georgia State,22,9,13,0.409,-5.21,-2.86,4.0,7.0,6,3,3,10,1723,1661,71.4,108.5,0.276,0.362,0.533,50.2,43.1,8.0,7.7,0.499,11.7,28.5,0.208
103,Georgia Tech,22,10,12,0.455,4.78,7.83,3.0,8.0,6,5,2,6,1605,1672,68.5,104.2,0.308,0.403,0.522,51.5,50.5,6.5,11.9,0.493,14.8,33.0,0.21
104,Gonzaga,22,16,6,0.727,16.64,2.54,7.0,2.0,10,2,3,2,1853,1491,71.6,117.7,0.328,0.318,0.58,55.8,49.9,10.4,9.7,0.557,12.7,34.5,0.227
