Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,MP,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
172,Miami (FL),26,15,11,0.577,11.56,6.21,6.0,9.0,11,3,2,7,2025,1886,1045,737,1568,0.47,233,626,0.372,318,418,0.761,249,959,380,189,88,325,340
173,Miami (OH),25,12,13,0.48,-5.5,-3.58,6.0,6.0,8,4,4,9,1810,1765,1005,642,1407,0.456,201,550,0.365,325,460,0.707,201,826,380,151,68,292,443
174,Michigan,26,8,18,0.308,7.63,11.29,3.0,12.0,5,8,2,7,1956,2051,1055,697,1537,0.453,214,591,0.362,348,490,0.71,279,940,333,109,103,337,441
175,Michigan State,26,17,9,0.654,19.1,9.68,9.0,6.0,13,2,3,5,1955,1710,1045,724,1526,0.474,169,463,0.365,338,481,0.703,254,898,438,191,102,258,418
176,Middle Tennessee,26,11,15,0.423,-7.23,-0.65,5.0,6.0,9,6,1,7,1698,1793,1065,596,1455,0.41,181,603,0.3,325,474,0.686,288,915,256,146,117,385,400
177,Milwaukee,27,14,13,0.519,-5.93,-3.41,9.0,7.0,9,3,4,9,2105,2121,1100,745,1699,0.438,228,698,0.327,387,545,0.71,373,1046,375,164,124,350,479
178,Minnesota,25,16,9,0.64,11.12,4.12,7.0,7.0,14,3,2,5,1907,1732,1005,678,1428,0.475,203,569,0.357,348,510,0.682,262,910,462,157,119,304,419
179,Mississippi,25,19,6,0.76,10.3,6.1,6.0,6.0,14,1,3,5,1899,1794,1000,675,1485,0.455,191,496,0.385,358,483,0.741,260,854,392,210,149,259,388
180,Mississippi State,25,17,8,0.68,14.29,7.53,6.0,6.0,10,2,1,6,1853,1684,1000,654,1457,0.449,181,576,0.314,364,542,0.672,310,989,367,202,84,325,416
181,Mississippi Valley State,26,0,26,0.0,-27.11,-1.8,0.0,13.0,0,7,0,19,1407,2065,1045,505,1355,0.373,107,391,0.274,290,440,0.659,262,779,215,166,59,433,482
182,Missouri,25,8,17,0.32,3.86,6.18,0.0,12.0,6,8,2,7,1804,1862,1005,641,1448,0.443,190,582,0.326,332,424,0.783,224,784,320,195,126,284,481
183,Missouri State,27,15,12,0.556,1.52,0.77,7.0,9.0,8,4,4,8,1949,1929,1100,698,1584,0.441,193,611,0.316,360,509,0.707,273,1059,326,118,124,324,418
184,Monmouth,27,15,12,0.556,-2.14,-1.8,8.0,6.0,12,1,1,11,1956,1965,1081,698,1617,0.432,208,583,0.357,352,501,0.703,296,952,341,197,99,293,459
185,Montana,26,17,9,0.654,-0.02,-2.24,8.0,5.0,10,3,7,6,2008,1864,1045,737,1545,0.477,197,561,0.351,337,426,0.791,233,903,397,126,81,252,430
186,Montana State,26,11,15,0.423,-6.1,-2.97,6.0,7.0,8,6,3,9,1927,1942,1050,684,1489,0.459,224,624,0.359,335,452,0.741,178,790,335,214,55,306,491
187,Morehead State,27,20,7,0.741,0.66,-4.3,11.0,3.0,12,0,8,7,2045,1703,1080,735,1570,0.468,247,694,0.356,328,458,0.716,326,1076,412,159,133,329,436
188,Morgan State,25,9,16,0.36,-16.77,-4.09,5.0,4.0,6,3,3,11,1807,1950,1010,678,1523,0.445,132,435,0.303,319,430,0.742,276,889,313,157,81,363,484
189,Mount St. Mary's,26,11,15,0.423,-6.08,-7.35,7.0,8.0,7,3,4,12,1890,1857,1055,709,1519,0.467,175,515,0.34,297,412,0.721,266,921,343,191,104,380,417
190,Murray State,27,11,16,0.407,2.38,1.88,8.0,8.0,7,7,4,7,1911,1865,1085,700,1557,0.45,185,566,0.327,326,471,0.692,248,889,329,167,79,252,416
191,Navy,25,8,17,0.32,-12.25,-8.13,4.0,10.0,7,5,1,12,1657,1698,1010,578,1471,0.393,143,498,0.287,358,513,0.698,308,863,300,188,46,253,458
192,NC State,25,16,9,0.64,10.33,5.69,8.0,6.0,11,3,4,4,1887,1771,1010,686,1552,0.442,180,537,0.335,335,466,0.719,256,889,329,198,78,234,441
193,Nebraska,26,18,8,0.692,13.63,6.67,8.0,7.0,16,1,1,7,2001,1820,1055,687,1527,0.45,241,670,0.36,386,508,0.76,257,988,399,168,71,299,403
194,Nevada,26,20,6,0.769,13.05,4.53,7.0,5.0,12,2,5,3,1982,1736,1045,682,1445,0.472,153,455,0.336,465,650,0.715,244,915,383,161,95,257,454
195,Nevada-Las Vegas,24,14,10,0.583,7.67,6.53,7.0,5.0,9,5,5,2,1791,1674,970,664,1413,0.47,164,497,0.33,299,426,0.702,241,794,343,159,108,252,396
196,New Hampshire,24,14,10,0.583,-4.08,-2.86,6.0,5.0,7,3,7,7,1806,1757,965,633,1505,0.421,215,646,0.333,325,448,0.725,218,918,290,177,53,291,368
