,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
156,157,Loyola (MD),16,7,9,0.438,-14.89,-9.27,2.0,3.0,3,4,4,5,876,966,65.1,84.1,0.225,0.246,0.459,49.3,48.5,11.3,4.6,0.43,20.1,29.0,0.157
157,158,Loyola Marymount,17,7,10,0.412,-3.39,2.08,2.0,3.0,3,5,4,5,1040,1080,67.5,90.0,0.215,0.342,0.461,52.7,54.7,9.8,8.3,0.438,19.4,38.4,0.14
158,159,Maine,18,11,7,0.611,4.1,-0.4,4.0,0.0,5,2,4,4,1164,1083,66.6,97.2,0.183,0.419,0.497,53.7,59.2,9.9,5.1,0.472,17.4,33.8,0.136
159,160,Manhattan,15,11,4,0.733,-5.49,-10.36,4.0,2.0,6,1,5,3,854,781,64.9,87.7,0.242,0.348,0.48,52.3,70.9,9.7,11.0,0.441,22.2,34.0,0.188
160,161,Marist,16,5,11,0.313,-17.07,-10.38,3.0,3.0,3,3,2,6,898,1005,68.3,81.0,0.286,0.328,0.46,47.5,62.3,8.1,8.8,0.42,21.5,23.8,0.206
161,162,Marquette,18,15,3,0.833,22.33,5.16,4.0,3.0,10,0,3,3,1388,1079,71.6,107.7,0.247,0.301,0.574,56.2,67.2,9.9,10.4,0.549,18.2,34.3,0.184
162,163,Marshall,17,12,5,0.706,5.78,-1.82,6.0,0.0,6,0,6,5,1433,1194,80.8,104.4,0.338,0.432,0.528,49.0,53.6,16.6,7.8,0.494,17.4,36.5,0.236
163,164,Maryland,17,11,6,0.647,24.22,15.57,3.0,3.0,8,1,1,4,1366,1219,78.3,102.6,0.335,0.255,0.534,51.7,58.4,10.8,6.0,0.487,17.0,34.0,0.263
164,165,Maryland-Baltimore County,17,6,11,0.353,-16.82,-9.09,2.0,3.0,3,5,3,6,1033,1105,68.9,85.7,0.294,0.266,0.485,48.4,46.5,8.8,5.0,0.453,22.6,29.5,0.199
165,166,Maryland-Eastern Shore,16,7,9,0.438,-8.19,-3.99,0.0,2.0,6,2,1,7,1004,985,71.3,88.0,0.288,0.265,0.455,51.6,50.8,11.8,7.7,0.42,19.7,37.0,0.194
166,167,Massachusetts,18,3,15,0.167,-12.27,1.78,1.0,5.0,3,4,0,8,1086,1339,72.6,83.1,0.244,0.303,0.469,45.0,58.1,11.4,2.6,0.442,21.3,26.9,0.163
167,168,Massachusetts-Lowell,17,3,14,0.176,-17.1,-5.22,3.0,2.0,1,6,2,8,884,1086,68.0,75.9,0.202,0.26,0.429,46.5,53.6,12.2,5.6,0.41,22.4,26.6,0.119
168,169,McNeese State,18,4,14,0.222,-31.03,0.61,0.0,5.0,4,8,0,6,1236,1499,80.2,85.0,0.382,0.301,0.481,46.6,58.0,11.2,4.6,0.437,22.4,29.2,0.263
169,170,Memphis,17,5,12,0.294,2.52,6.64,1.0,5.0,3,4,1,6,1148,1218,76.3,86.6,0.251,0.273,0.434,48.6,44.3,12.9,10.9,0.405,18.2,37.0,0.161
170,171,Mercer,19,7,12,0.368,-5.25,-2.14,1.0,2.0,5,3,1,8,1214,1273,70.0,89.5,0.243,0.247,0.464,50.5,52.9,11.6,8.2,0.427,19.2,35.0,0.182
171,172,Merrimack,17,4,13,0.235,-17.59,-8.18,1.0,3.0,3,5,1,8,923,1083,68.7,77.9,0.241,0.364,0.432,50.2,56.0,10.8,8.9,0.4,23.8,34.4,0.163
172,173,Miami (FL),17,12,5,0.706,18.21,6.45,2.0,4.0,11,1,1,3,1185,985,69.9,99.8,0.231,0.323,0.529,52.9,49.2,14.8,11.3,0.516,20.7,38.6,0.143
173,174,Miami (OH),15,3,12,0.2,-15.35,-0.82,1.0,4.0,1,4,2,8,781,999,66.5,77.0,0.217,0.283,0.453,46.3,54.5,11.9,8.9,0.426,26.4,30.2,0.147
174,175,Michigan,18,12,6,0.667,19.0,7.0,3.0,3.0,8,1,2,3,1265,1049,69.0,101.9,0.267,0.33,0.511,55.2,49.1,11.0,8.6,0.483,17.6,39.2,0.185
175,176,Michigan State,17,13,4,0.765,28.31,6.42,3.0,3.0,8,1,2,2,1505,1133,76.2,116.1,0.293,0.404,0.587,52.1,63.2,12.5,10.0,0.559,12.7,29.0,0.22
176,177,Middle Tennessee,17,13,4,0.765,14.05,2.1,3.0,0.0,5,1,5,2,1194,991,67.2,103.8,0.274,0.404,0.527,52.7,52.6,11.4,13.0,0.491,16.1,33.3,0.211
177,178,Milwaukee,20,11,9,0.55,-4.53,-6.58,5.0,4.0,5,5,5,3,1356,1236,69.7,97.2,0.25,0.363,0.525,52.7,66.3,9.7,5.3,0.493,21.0,34.7,0.189
178,179,Minnesota,17,13,4,0.765,22.74,6.62,3.0,3.0,11,2,2,2,1303,1029,71.4,105.8,0.246,0.356,0.529,54.2,57.6,12.0,5.2,0.505,15.6,34.2,0.172
179,180,Mississippi,17,12,5,0.706,15.79,4.79,2.0,2.0,6,3,3,2,1128,941,69.6,95.4,0.408,0.217,0.476,55.2,51.1,11.2,15.9,0.427,18.4,41.0,0.281
180,181,Mississippi State,20,15,5,0.75,21.71,5.66,2.0,3.0,8,3,4,2,1525,1204,71.0,107.4,0.288,0.285,0.529,56.1,59.2,11.4,13.2,0.498,15.2,38.0,0.207
181,182,Mississippi Valley State,16,1,15,0.063,-26.7,5.87,0.0,3.0,0,3,1,10,827,1348,76.7,67.4,0.261,0.267,0.378,39.7,51.5,11.4,8.2,0.348,22.3,25.6,0.154
182,183,Missouri,18,11,7,0.611,15.48,8.98,2.0,3.0,8,2,2,3,1351,1234,73.6,101.3,0.23,0.395,0.557,51.5,56.0,9.9,5.3,0.531,19.2,26.8,0.173
183,184,Missouri State,14,10,4,0.714,0.77,-0.3,4.0,1.0,8,0,2,4,918,903,69.1,94.8,0.304,0.275,0.492,53.1,57.6,11.6,8.9,0.466,18.1,35.0,0.192
184,185,Monmouth,14,9,5,0.643,-1.63,-6.4,2.0,1.0,5,3,4,2,893,791,69.7,91.5,0.303,0.37,0.486,56.0,51.6,9.7,12.9,0.454,21.3,37.3,0.204
185,186,Montana,15,11,4,0.733,6.6,2.03,3.0,1.0,5,3,5,1,1115,1000,68.5,108.6,0.249,0.451,0.556,54.4,53.0,9.7,7.5,0.526,17.3,34.9,0.192
186,187,Montana State,17,8,9,0.471,3.71,2.29,2.0,2.0,6,1,1,7,1042,1018,69.0,88.8,0.327,0.308,0.483,48.9,56.5,13.1,9.1,0.433,20.6,30.5,0.249
187,188,Morehead State,17,10,7,0.588,-5.8,-2.37,5.0,1.0,7,2,3,5,1140,1077,72.7,92.2,0.324,0.369,0.495,54.0,59.4,13.1,8.8,0.467,22.2,38.8,0.21
188,189,Morgan State,17,6,11,0.353,-16.56,-2.87,1.0,2.0,4,4,1,7,932,1104,69.2,78.1,0.213,0.268,0.408,47.9,43.0,16.0,7.1,0.374,20.3,34.4,0.15
