,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
179,180,Mississippi,17,12,5,0.706,15.79,4.79,2.0,2.0,6,3,3,2,1128,941,69.6,79.5,0.28,0.255,0.435,44.8,54.3,9.1,6.4,0.393,21.5,30.5,0.201
180,181,Mississippi State,20,15,5,0.75,21.71,5.66,2.0,3.0,8,3,4,2,1525,1204,71.0,84.8,0.198,0.344,0.446,43.9,54.9,8.1,7.6,0.423,17.6,27.4,0.129
181,182,Mississippi Valley State,16,1,15,0.063,-26.7,5.87,0.0,3.0,0,3,1,10,827,1348,76.7,109.9,0.406,0.355,0.55,60.3,61.6,12.3,13.9,0.512,18.2,43.9,0.288
182,183,Missouri,18,11,7,0.611,15.48,8.98,2.0,3.0,8,2,2,3,1351,1234,73.6,92.5,0.235,0.362,0.481,48.5,54.5,10.9,8.5,0.45,16.3,27.4,0.17
183,184,Missouri State,14,10,4,0.714,0.77,-0.3,4.0,1.0,8,0,2,4,918,903,69.1,93.3,0.393,0.324,0.546,46.9,48.9,9.9,3.5,0.504,23.2,25.1,0.288
184,185,Monmouth,14,9,5,0.643,-1.63,-6.4,2.0,1.0,5,3,4,2,893,791,69.7,81.0,0.241,0.265,0.425,44.0,47.0,11.6,7.7,0.397,17.3,27.4,0.153
185,186,Montana,15,11,4,0.733,6.6,2.03,3.0,1.0,5,3,5,1,1115,1000,68.5,97.4,0.213,0.32,0.517,45.6,54.0,10.8,10.0,0.489,16.8,26.1,0.162
186,187,Montana State,17,8,9,0.471,3.71,2.29,2.0,2.0,6,1,1,7,1042,1018,69.0,86.7,0.305,0.373,0.472,51.1,51.7,12.6,9.4,0.433,21.4,33.2,0.215
187,188,Morehead State,17,10,7,0.588,-5.8,-2.37,5.0,1.0,7,2,3,5,1140,1077,72.7,87.1,0.285,0.329,0.476,46.0,49.2,9.5,7.2,0.434,21.3,31.1,0.213
188,189,Morgan State,17,6,11,0.353,-16.56,-2.87,1.0,2.0,4,4,1,7,932,1104,69.2,92.5,0.31,0.297,0.532,52.1,57.8,11.2,6.1,0.501,24.7,34.2,0.218
189,190,Mount St. Mary's,15,4,11,0.267,-19.32,-7.72,1.0,5.0,2,4,2,7,739,913,67.4,89.6,0.275,0.37,0.474,57.1,55.9,10.7,7.0,0.436,19.2,32.8,0.2
190,191,Murray State,14,12,2,0.857,10.07,-5.62,5.0,0.0,7,0,5,2,1292,1030,81.7,90.0,0.242,0.305,0.514,46.5,49.1,7.3,7.0,0.491,21.7,25.7,0.165
191,192,Navy,16,5,11,0.313,-21.91,-7.62,1.0,4.0,5,4,0,7,999,1103,73.2,93.5,0.318,0.33,0.527,51.4,57.2,10.8,6.5,0.494,21.2,27.4,0.224
192,193,NC State,17,15,2,0.882,30.92,12.33,3.0,2.0,9,0,3,2,1330,1014,73.5,80.5,0.161,0.355,0.421,43.9,49.6,8.3,9.1,0.391,16.6,24.8,0.123
193,194,Nebraska,18,13,5,0.722,22.81,8.7,5.0,2.0,9,2,3,2,1344,1090,69.7,86.9,0.258,0.379,0.47,42.8,53.0,8.5,8.2,0.435,18.4,24.6,0.185
194,195,Nevada,18,9,9,0.5,-3.52,-3.4,3.0,2.0,4,4,3,3,1171,1138,72.0,86.5,0.335,0.298,0.501,52.2,49.6,9.2,11.0,0.462,25.1,33.2,0.239
195,196,Nevada-Las Vegas,16,15,1,0.938,18.87,-1.07,5.0,0.0,6,0,8,1,1309,990,72.7,85.1,0.204,0.318,0.469,44.7,51.2,6.4,8.0,0.437,18.7,23.2,0.156
196,197,New Hampshire,18,7,11,0.389,-13.18,-7.77,1.0,4.0,5,4,1,7,990,1048,67.1,86.8,0.313,0.424,0.504,49.3,59.5,12.6,8.2,0.466,24.9,30.5,0.227
197,198,New Mexico,18,12,6,0.667,-3.0,-5.29,3.0,2.0,10,2,2,2,1154,1091,71.1,84.6,0.163,0.36,0.459,48.0,57.1,8.6,9.6,0.437,18.3,24.3,0.114
198,199,New Mexico State,16,7,9,0.438,-1.39,-3.52,1.0,2.0,3,3,2,5,991,924,69.4,82.6,0.336,0.333,0.474,49.2,48.1,11.4,9.4,0.449,23.7,31.6,0.202
199,200,New Orleans,16,6,10,0.375,-11.55,-2.36,3.0,2.0,3,3,3,7,934,1081,74.7,90.4,0.242,0.36,0.494,53.6,59.5,12.0,11.4,0.461,21.3,33.3,0.179
200,201,Niagara,17,6,11,0.353,-13.52,-1.17,3.0,4.0,4,3,2,6,1071,1281,80.0,94.3,0.421,0.285,0.566,55.3,63.8,14.0,9.0,0.524,27.1,39.1,0.309
201,202,Nicholls State,17,8,9,0.471,-6.79,-5.39,2.0,3.0,3,4,4,5,1058,1030,71.1,84.6,0.31,0.376,0.477,51.4,56.8,11.8,5.1,0.436,22.6,28.0,0.223
202,203,NJIT,17,8,9,0.471,-15.16,-12.4,0.0,4.0,6,3,2,6,1005,1052,68.7,89.4,0.291,0.254,0.464,49.0,52.7,14.3,9.7,0.426,19.1,34.4,0.204
203,204,Norfolk State,16,12,4,0.75,-0.62,-9.43,2.0,0.0,2,0,9,3,1042,901,69.4,80.5,0.337,0.415,0.481,47.1,64.9,8.3,6.3,0.438,26.5,29.1,0.24
204,205,North Alabama,17,6,11,0.353,-11.14,-2.07,2.0,2.0,4,5,2,6,1222,1280,75.3,98.5,0.284,0.284,0.526,52.4,50.1,11.7,8.1,0.495,18.9,32.1,0.204
205,206,North Carolina,18,13,5,0.722,22.32,10.1,5.0,1.0,9,1,2,1,1274,1054,71.6,81.8,0.267,0.354,0.452,47.2,55.1,7.6,6.3,0.413,20.9,27.1,0.192
206,207,North Carolina A&T,15,9,6,0.6,-3.64,-2.02,3.0,1.0,4,2,4,3,971,859,72.6,78.2,0.31,0.348,0.422,46.7,61.5,12.9,6.3,0.383,21.3,31.0,0.203
207,208,North Carolina Central,17,7,10,0.412,-21.71,-6.49,1.0,1.0,5,1,2,9,1167,1169,80.4,85.0,0.284,0.303,0.472,52.3,57.6,10.0,7.7,0.445,23.5,34.1,0.18
208,209,North Dakota,18,6,12,0.333,-9.54,0.39,2.0,3.0,5,6,1,5,1189,1283,76.6,93.0,0.317,0.359,0.488,50.5,53.0,12.1,6.5,0.451,18.4,31.4,0.221
209,210,North Dakota State,17,10,7,0.588,2.28,2.61,4.0,0.0,7,0,3,4,1245,1174,72.5,95.2,0.361,0.261,0.535,47.0,45.0,10.5,8.7,0.495,20.9,28.1,0.263
210,211,North Florida,18,7,11,0.389,-9.23,-0.43,1.0,3.0,5,3,2,7,1186,1190,70.0,93.1,0.288,0.286,0.491,50.3,53.2,10.5,11.0,0.466,19.5,34.0,0.185
211,212,North Texas,17,14,3,0.824,9.35,-2.4,4.0,1.0,7,0,5,3,1286,1023,75.7,79.5,0.279,0.342,0.43,45.6,49.3,12.9,7.3,0.402,20.8,29.8,0.17
212,213,Northeastern,14,6,8,0.429,-10.57,-7.78,2.0,2.0,4,2,2,6,877,916,68.5,94.7,0.257,0.374,0.493,51.9,56.8,12.0,6.9,0.463,19.4,36.8,0.181
213,214,Northern Arizona,17,11,6,0.647,1.84,1.72,3.0,1.0,4,3,5,3,1331,1275,75.5,97.9,0.347,0.306,0.532,50.6,55.6,8.7,6.9,0.495,19.1,29.1,0.25
214,215,Northern Colorado,15,8,7,0.533,-2.6,-2.21,3.0,1.0,5,2,3,5,1034,950,70.5,89.1,0.235,0.317,0.487,46.0,54.0,11.8,7.9,0.455,19.4,27.2,0.172
215,216,Northern Illinois,16,8,8,0.5,-12.78,-8.78,2.0,3.0,5,2,1,6,1051,1045,71.9,90.8,0.222,0.335,0.471,49.7,55.0,11.4,9.4,0.44,16.5,29.1,0.161
216,217,Northern Iowa,13,4,9,0.308,0.04,8.04,3.0,1.0,3,2,1,5,864,976,72.2,104.1,0.267,0.358,0.543,54.1,59.0,8.7,12.4,0.517,16.7,30.3,0.191
217,218,Northern Kentucky,16,3,13,0.188,-12.39,0.08,1.0,6.0,3,4,0,7,1045,1228,73.0,104.2,0.315,0.354,0.532,53.2,55.8,12.8,9.3,0.499,15.8,32.2,0.226
218,219,Northwestern,18,7,11,0.389,-3.66,10.07,2.0,5.0,5,4,2,5,1217,1464,72.9,110.8,0.264,0.348,0.542,51.0,68.5,13.3,7.3,0.509,13.9,35.8,0.202
219,220,Northwestern State,16,6,10,0.375,-8.18,-1.24,2.0,3.0,5,2,1,8,947,1010,69.9,90.3,0.317,0.328,0.475,51.7,51.1,11.6,9.4,0.433,19.2,33.0,0.227
220,221,Notre Dame,16,13,3,0.813,31.87,7.12,4.0,2.0,7,1,5,1,1360,964,77.7,77.6,0.221,0.294,0.447,43.4,50.9,10.5,7.9,0.418,23.9,27.6,0.153
221,222,Oakland,16,7,9,0.438,-10.1,-3.25,3.0,5.0,5,4,2,5,1170,1123,75.9,90.3,0.328,0.312,0.529,50.6,55.0,8.8,6.8,0.498,25.4,33.6,0.228
222,223,Ohio,15,4,11,0.267,-13.71,-2.84,1.0,4.0,4,3,0,8,925,1088,77.2,94.0,0.33,0.373,0.51,58.2,59.1,12.8,7.0,0.476,23.7,41.6,0.228
