Team,Record,NET Rank
Louisville,6-14,231
Montana State,8-10,232
Southern Utah,6-12,233
Omaha,7-12,234
Western Illinois,9-8,235
Maine,9-11,236
Vanderbilt,5-14,237
Mercer,7-11,238
Lamar,10-9,239
Canisius,7-12,240
Nicholls,7-10,241
Tennessee State,8-9,242
Tennessee-Martin,8-9,243
North Florida,9-10,244
Northeastern,8-13,245
Rice,6-13,246
Saint Louis,7-12,247
San Diego,10-10,248
Temple,7-13,249
Abilene Christian,7-12,250
The Citadel,6-12,251
SIUE,9-9,252
Pepperdine,7-14,253
Ball State,9-9,254
North Alabama,7-12,255
South Alabama,8-10,256
North Dakota State,6-12,257
Central Michigan,10-9,258
Alabama State,7-10,259
Milwaukee,8-11,260
Jackson State,8-12,261
Brown,4-14,262
Niagara,9-10,263
North Dakota,9-10,264
North Carolina Central,8-8,265
Mount Saint Mary's,7-13,266
New Mexico State,5-12,267
Texas State,5-14,268
UC Riverside,6-14,269
Idaho State,6-13,270
FGCU,6-13,271
Robert Morris,6-13,272
Utah Tech,6-13,273
Western Michigan,7-12,274
Little Rock,11-10,275
American,10-10,276
Howard,7-13,277
UMKC,6-13,278
UTSA,7-13,279
Cal State Bakersfield,6-12,280
Binghamton,7-10,281
Valparaiso,5-15,282
Rider,6-13,283
Bucknell,8-13,284
Northern Illinois,4-13,285
Chicago State,9-15,286
Queens,6-14,287
FIU,6-14,288
Lehigh,4-13,289
Prairie View A&M,6-12,290
Sacred Heart,8-12,291
Old Dominion,4-16,292
Texas Southern,6-12,293
Le Moyne,6-11,294
Wagner,7-10,295
Boston University,7-14,296
Eastern Illinois,6-11,297
Lafayette,7-13,298
Northern Arizona,10-11,299
Navy,7-11,300
DePaul,3-17,301
Middle Tennessee,6-13,302
Georgia Southern,5-16,303
Presbyterian College,6-13,304
Jacksonville,7-11,305
South Carolina Upstate,3-14,306
Elon,7-12,307
UTRGV,4-14,308
Sacramento State,4-15,309
Portland,5-15,310
Southeastern Louisiana,5-13,311
ULM,5-12,312
Campbell,7-11,313
Alcorn State,4-15,314
Texas A&M-Commerce,4-13,315
South Dakota,6-13,316
Delaware State,8-11,317
Bellarmine,2-17,318
Bethune-Cookman,7-11,319
Grambling State,5-12,320
South Carolina State,5-14,321
William & Mary,6-13,322
Fairleigh Dickinson,8-12,323
Manhattan,4-13,324
Coastal Carolina,4-14,325
UMBC,5-15,326
Idaho,5-13,327
Charleston Southern,3-14,328
North Carolina A&T,6-15,329
Eastern Michigan,7-11,330
Army,4-15,331
NJIT,4-14,332
Arkansas-Pine Bluff,5-11,333
Incarnate Word,4-13,334
Southern Indiana,2-16,335
Cal Poly,3-17,336
Dartmouth,3-12,337
Tennessee Tech,4-14,338
New Orleans,3-14,339
