Team,Record,NET Rank
Saint Peter's,5-13,348
Long Island,5-14,349
Western Carolina,2-16,350
Gardner-Webb,3-17,351
UNCW,2-15,352
Delaware State,4-12,353
South Carolina State,1-19,354
McNeese,0-17,355
Stonehill,3-17,356
Alabama State,2-16,357
Chicago State,0-24,358
Wagner,4-13,359
Saint Francis (PA),3-18,360
